genres,title_x,actors,TMDB_Genre,Vote_Average,Vote_Count
Action|Drama|War,Uri: The Surgical Strike,Vicky Kaushal|Paresh Rawal|Mohit Raina|Yami Gautam|Kirti Kulhari|Rajit Kapoor|Ivan Rodrigues|Manasi Parekh|Swaroop Sampat|Riva Arora|Yogesh Soman|Fareed Ahmed|Akashdeep Arora|Kallol Banerjee|,"Action, Drama, War",7.078,411.0
War,Battalion 609,Vicky Ahuja|Shoaib Ibrahim|Shrikant Kamat|Elena Kazan|Vishwas Kini|Major Kishore|Jashn Kohli|Rammy C. Pandey|Manish Sharma|Sparsh Sharma|Farnaz Shetty|Vikas Shrivastav|Chandraprakash Thakur|Brajesh Tiwari|,"Action, War, Drama",0.0,0.0
Biography|Drama,The Accidental Prime Minister,Anupam Kher|Akshaye Khanna|Aahana Kumra|Atul Sharma|Manoj Anand|Arjun Mathur|Suzanne Bernert|Abdul Quadir Amin|Bharat Mistri|Divya Seth|Anil Rastogi|Ramesh Bhatkar|Parrgash Kaur|Jess Kaur|,"History, Drama",5.0,21.0
Crime|Drama,Why Cheat India,Emraan Hashmi|Shreya Dhanwanthary|Snighdadeep Chatterji|Navneet Srivastava|Nanda Yadav|,"Drama, Crime",5.5,18.0
Drama,Evening Shadows,Mona Ambegaonkar|Ananth Narayan Mahadevan|Devansh Doshi|Arpit Chaudhary|Yamini Singh|Abhay Kulkarni|Veena Nair|Disha Thakur|Kala Ramanathan|Sushant Divgikar|,Drama,5.7,6.0
Drama,Soni,Geetika Vidya Ohlyan|Saloni Batra|Vikas Shukla|Mohit Chauhan|Himanshu Kohli|Gauri Chakraborty|Mohinder Gujral|Upasya Goswami|Simrat Kaur|Dimple Kaur|Prateek Pachori|Kalpana Jha|Samar|,"Drama, Crime",6.7,36.0
Comedy|Drama,Fraud Saiyaan,Arshad Warsi|Saurabh Shukla|Flora Saini|Sara Loren|Varun Badola|Deepali Pansare|Nivedita Tiwari|Peeyush Suhaney|Preeti Sood|Parag Tyagi|Anangsha Biswas|Amanda Rosario|Elli Avrram|,"Comedy, Drama",4.2,10.0
Comedy|Crime|Drama,Bombairiya,Radhika Apte|Akshay Oberoi|Siddhanth Kapoor|Ravi Kishan|Adil Hussain|Shilpa Shukla|Ajinkya Deo|Amit Sial|,"Comedy, Crime, Drama",7.2,8.0
Action|Biography|Drama,Manikarnika: The Queen of Jhansi,Kangana Ranaut|Rimi Sen|Atul Kulkarni|Nalneesh Neel|Danny Denzongpa|Mishti|Kulbhushan Kharbanda|Mohammed Zeeshan Ayyub|Anil George|Vikram Kochhar|Edward Sonnenblick|Ankita Lokhande|Richard Keep|Jishu Sengupta|,"History, Drama, Action",6.8,44.0
Biography|Drama,Thackeray,Nawazuddin Siddiqui|Amrita Rao|Abdul Quadir Amin|Sanjay Narvekar|Prakash Belawadi|Vineet Sharma|Radha Sagar|Sonamoni Jayant Gadekar|Satish Alekar|Micky Makhija|Nikhil Mahajan|Resh Lamba|Jaywant Wadkar|Laxman Singh Rajput|,"Drama, History",5.1,16.0
Horror|Thriller,Amavas,Ali Asgar|Vivan Bhatena|Nargis Fakhri|Sachiin Joshi|Shabnam Karimzada|Kevin Matadeen|,"Horror, Romance, Thriller",5.5,4.0
Drama|Music,Gully Boy,Ranveer Singh|Alia Bhatt|Siddhant Chaturvedi|Vijay Raaz|Amruta Subhash|Vijay Varma|Kalki Koechlin|Ikhlaque Khan|Sheeba Chaddha|Jyoti Subhash|Rahul Piske|Nakul Sachdeva|Shruti Chauhan|Aishwarya Desai|,"Drama, Music",7.362,174.0
Drama,Hum Chaar,Prit Kamani|Simran Sharma|Anshuman Malhotra|Tushar Pandey|Vibha Anand|Jatin Goswami|Jagat Rawat|Sonal Jha|Shailesh Datar|Jayshankar Tripathi|Alok Pandey|Sushant Mohindru|Shahnawaz Pradhan|Amit Kumar Jha|,Drama,5.667,3.0
Action|Adventure|Comedy,Total Dhamaal,Ajay Devgn|Madhuri Dixit|Anil Kapoor|Riteish Deshmukh|Arshad Warsi|Javed Jaffrey|Esha Gupta|Boman Irani|Sanjay Mishra|Vijay Patkar|Pitobash|Mahesh Manjrekar|Ali|,"Comedy, Adventure, Action",5.256,41.0
Action|Crime|Drama,Sonchiriya,Sushant Singh Rajput|Bhumi Pednekar|Manoj Bajpayee|Ranvir Shorey|Ashutosh Rana|Gagandev Riar|,"Crime, Action, Drama, Western",8.3,34.0
Crime|Drama|Mystery,Badla,Amitabh Bachchan|Taapsee Pannu|Amrita Singh|Antonio Aakeel|Tony Luke|Tanveer Ghani|Tariqsafdar Hussain|Mark Mansfield|,"Science Fiction, Action",6.8,637.0
Action|Comedy,Mard Ko Dard Nahi Hota,Abhimanyu Dasani|Radhika Madan|Prateek Parmar|Satyajit Ganu|,"Action, Comedy",6.6,60.0
Drama,Hamid,Talha Arshad Reshi|Vikas Kumar|Rasika Dugal|Sumit Kaul|Bashir Lone|Gurveer Singh|Ashraf Nagoo|Mir Sarwar|Qazi Faiz|Umar Adil|,Drama,7.0,12.0
Drama|Romance,Photograph,Nawazuddin Siddiqui|Sanya Malhotra|Sachin Khedekar|Denzil Smith|Brinda Trivedi|Lubna Salim|Rajesh Kumar Sharma|Shihaan Bakshi|Akash Sinha|Seema Pravin Shende|Robin Das|Bhagwan Das Patel|Ashok Pathak|Amarjeet Singh|,"Drama, Romance",6.0,3.0
Thriller,Risknamaa,Garima Agarwal|Anupama|Parveen Bansala|Mahaveer Singh Fauji|Javed Haider|Shahbaaz Khan|Sachin Khari|Pramod Moutho|Aarun Nagar|Khyati Sharma|Ravi Sharma|Shashikant Sharma|,N/A,,
Drama,Mere Pyare Prime Minister,Rasika Agashe|Sonia Albizuri|Syna Anand|Adarsh Bharti|Makrand Deshpande|Om Kanojiya|Atul Kulkarni|Anjali Patil|Prasad|Nachiket Purnapatre|Niteesh Wadhwa|,Drama,6.4,8.0
Sport,22 Yards,Barun Sobti|Rajit Kapur|Panchhi Bora|Kartikey Tripathi|,Drama,10.0,1.0
Action|Drama|History,Kesari,Akshay Kumar|Parineeti Chopra|Suvinder Vicky|Vansh Bhardwaj|Sumeet Basran|Ajit Singh|Sandeep Nahar|Harwinder Singh Aujla|Rakesh Sharma|Adhrit Sharma|Vivek Saini|Harbhagwan Singh|Rajdeep Singh Dhaliwal|Gurpreet Toti|,"Action, Fantasy",0.0,0.0
Drama|Romance,Notebook,Zaheer Iqbal|Pranutan Bahl|Mir Mohammed Mehroos|Mir Mohammed Zayan|Soliha Maqbool|Baba Hatim|Adiba Bhat|Hafsa Ashraf|Madikha|Bareen|Mozim Bhat|Mir Sarwar|Hemant Kher|Shrysh Zutshi|,"Romance, Drama",5.8,16.0
Action|Adventure,Junglee,Vidyut Jammwal|Lars Kjeldsen|,Drama,0.0,0.0
Drama,Gone Kesh,Deepika Amin|Kumar Kanchan Ghosh|Brijendra Kala|Jitendra Kumar|Mukesh Pandey|Santosh Rai|Vipin Sharma|,,6.6,8.0
Drama,Albert Pinto Ko Gussa Kyun Aata Hai?,Manav Kaul|Nandita Das|,"Crime, Drama",4.5,2.0
Drama|Mystery|Thriller,The Tashkent Files,Naseeruddin Shah|Mithun Chakraborty|Shweta Basu Prasad|Pankaj Tripathi|Vinay Pathak|Mandira Bedi|Rajesh Sharma|Prakash Belawadi|Ankur Rathee|,"Drama, Mystery, Thriller, History",7.356,45.0
Drama|Romance,Kalank,Varun Dhawan|Alia Bhatt|Aditya Roy Kapoor|Madhuri Dixit|Sonakshi Sinha|Sanjay Dutt|Kunal Khemu|Pawan Chopra|,"Drama, Romance",5.63,50.0
Thriller,Setters,Shreyas Talpade|Aftab Shivdasani|Sonnalli Seygall|Ishita Dutta|Pavan Malhotra|Vijay Raaz|Manu Rishi Chadha|Anil Charanjeett|Pankaj Jha|Jameel Khan|Niharika Kundu|Tanuka Laghate|Venus Singh|Neeraj Sood|,"Crime, Thriller",4.4,5.0
Drama|Romance|Sport,Student of the Year 2,Tiger Shroff|Ananya Panday|Tara Sutaria|Aditya Seal|Manoj Pahwa|Ayesha Raza|Rajesh Kumar|Manasi Joshi Roy|Samir Soni|Gul Panag|Manjot Singh|Sahil Anand|Harsh Beniwal|Daljeet Singh Gujral|,"Romance, Comedy, Drama",4.662,65.0
Biography|Drama,PM Narendra Modi,Boman Irani|Vivek Oberoi|Barkha Bisht|Darshan Kumaar|Zarina Wahab|Manoj Joshi|Suresh Oberoi|Prashant Narayanan|Yatin Karyekar|Rajendra Gupta|Anjan Srivastav|Imran Hasnee|Jay Bhatt|Akshat R Saluja|,"Drama, History",4.278,9.0
Comedy|Romance,De De Pyaar De,Ajay Devgn|Tabu|Rakul Preet Singh|Jimmy Sheirgill|Alok Nath|Madhumalti Kapoor|Harry Anton|Gergo Baranyi|Sammy John Heaney|Bhavin Bhanushali|Gandharv Dewan|Gulnaaz Khan|Kumud Mishra|Sunny Singh Nijjar|,"Romance, Comedy",6.0,45.0
Action|Thriller,India's Most Wanted,Arjun Kapoor|Sudev Nair|Rajesh Sharma|Prasanth|Santilal Mukherjee|,"Action, Thriller",5.0,12.0
Action|Adventure|Drama,Yeh Hai India,Gavie Chahal|Mohan Agashe|Mohan Joshi|Lom Harsh|,Comedy,4.833,15.0
Horror|Thriller,Khamoshi,Prabhu Deva|Tamannaah Bhatia|Bhoomika Chawla|,"Drama, Horror",4.588,17.0
Drama|Romance,Kabir Singh,Shahid Kapoor|Kiara Advani|Soham Majumdar|Arjan Bajwa|Suresh Oberoi|Kamini Kaushal|Adil Hussain|Nikita Dutta|Amit Sharma|Anurag Arora|Dolly Mattoo|Aanchal Chauhan|Suparna Marwah|Swati Seth|,"Drama, Romance",6.5,131.0
Crime|Drama,Article 15,Ayushmann Khurrana|Nassar|Manoj Pahwa|Kumud Mishra|Isha Talwar|Sayani Gupta|Mohammed Zeeshan Ayyub|Subhrajyoti Barat|Sushil Pandey|Aakash Dabhade|Ashish Verma|Ronjini Chakraborty|Veen|Sumbul Touqueer|,"Crime, Drama, Thriller",7.5,142.0
Action|Crime|Thriller,One Day: Justice Delivered,Anupam Kher|Kumud Mishra|Esha Gupta|Zakir Hussain|Rajesh Sharma|Murli Sharma|Deepshika Nagpal|,"Crime, Thriller, Drama",3.9,7.0
Action|Drama|Romance,Hume Tumse Pyaar Kitna,Karanvir Bohra|Priya Banerjee|,"Drama, Thriller",4.0,1.0
Biography|Drama,Super 30,Hrithik Roshan|Mrunal Thakur|Nandish Singh|Virendra Saxena|Sadhana Singh|Aditya Srivastava|Sanket Deshpande|Pankaj Tripathi|Vaibhav Gupta|Ali Haji|Rajesh Sharma|Deepali Kumar|Chittaranjan Giri|Ganesh Kumar|,Drama,7.3,96.0
Action|Drama,Family of Thakurganj,Jimmy Sheirgill|Mahie Gill|Nandish Singh|Pranati Rai Prakash|Saurabh Shukla|Sudhir Pandey|Supriya Pilgaonkar|Pavan Malhotra|Yashpal Sharma|Mukesh Tiwari|Raj Zutshi|Salil Acharya|Shivika Rishi|Lokesh Tilakdhari|,"Drama, Action",5.0,1.0
Action|Drama|Thriller,Batla House,John Abraham|Nora Fatehi|Mrunal Thakur|Rajesh Sharma|Ravi Kishan|Sonam Arora|Sahidur Rahaman|Manish Chaudhary|Anil Rastogi|Kranti Prakash Jha|Amruta Sant|Anil Khopkar|Aditi Gulati|Jitendra Trehan|,"Action, Drama, Thriller",6.79,51.0
Comedy,Jhootha Kahin Ka,Rishi Kapoor|Jimmy Sheirgill|Sunny Singh Nijjar|Omkar Kapoor|Nimisha Mehta|Rucha Vaidya|Manoj Joshi|Lillete Dubey|Rajesh Sharma|Gurbachan Singh|Rakesh Bedi|Neelu Kohli|Shobha Singh|Sunny Leone|,"Comedy, Drama",6.5,3.0
Comedy|Drama|Thriller,Judgementall Hai Kya,Kangana Ranaut|Rajkummar Rao|Amyra Dastur|Amrita Puri|Jimmy Sheirgill|,"Comedy, Drama, Thriller",5.7,19.0
Drama,Chicken Curry Law,Natalia Janoszek|Ashutosh Rana|Makrand Deshpande|Nivedita Bhattacharya|Mukesh Hariawala|Zakir Hussain|Aman Verma|,"Crime, Thriller, Drama",0.0,0.0
Action|Comedy,Arjun Patiala,Diljit Dosanjh|Kriti Sanon|Varun Sharma|Ronit Roy|Seema Bhargava|Mohammed Zeeshan Ayyub|Amit Mehra|,"Comedy, Romance",4.1,6.0
Action|Comedy|Drama,Jabariya Jodi,Sidharth Malhotra|Parineeti Chopra|Javed Jaffrey|Sanjay Mishra|Aparshakti Khurana|,"Drama, Romance",4.5,10.0
Action|Crime|Drama,Pranaam,Rajeev Khandelwal|Atul Kulkarni|Abhimanyu Singh|Sameksha|Vikram Gokhale|Aniruddh Dave|Apoorva Arora|S.M. Zaheer|,"Action, Crime, Drama",6.0,1.0
Drama|Family|Romance,The Sky Is Pink,Zaira Wasim|Priyanka Chopra|Farhan Akhtar|Rohit Saraf|,"Romance, Drama, Comedy",7.8,66.0
Drama|History,Mission Mangal,Akshay Kumar|Vidya Balan|Nithya Menon|Taapsee Pannu|Sonakshi Sinha|Kirti Kulhari|H.G. Dattatreya|Sharman Joshi|Sanjay Kapoor|Dalip Tahil|Vikram Gokhale|Mohammed Zeeshan Ayyub|Purab Kohli|,"Drama, History",6.698,63.0
Action|Thriller,Saaho,Jacqueline Fernandez|Shraddha Kapoor|Prabhas|Jackie Shroff|Mandira Bedi|Neil Nitin Mukesh|Chunky Pandey|Arun Vijay|Mahesh Manjrekar|Evelyn Sharma|Tinnu Anand|Michael Segal|Philip Fornah|Vennela Kishore|,"Action, Adventure, Thriller",5.82,87.0
Comedy|Romance,Dream Girl,Ayushmann Khurrana|Nushrat Bharucha|Annu Kapoor|Raj Bhansali|Manjot Singh|,"Animation, Romance, Drama, Fantasy",8.231,508.0
Crime|Drama,Section 375,Akshaye Khanna|Richa Chadha|Meera Chopra|Rahul Bhat|Shriswara|Kishore Kadam|Kruttika Desai|Sandhya Mridul|Shrikant Yadav|Vibhawari Deshpande|Shama Nivane|Rajendra Shisatkar|Annuup Choudhari|Shahnaaz Deshpande|,"Drama, Crime, Thriller",7.424,59.0
Comedy|Drama|Romance,The Zoya Factor,Sonam Kapoor|Dulquer Salmaan|Sanjay Kapoor|,Romance,5.5,22.0
Action|Drama|Romance,Pal Pal Dil Ke Paas,Karan Deol|Sahher Bambba|Simone Singh|Sachin Khedekar|,Romance,4.875,4.0
Action|Drama,Prassthanam,Sanjay Dutt|Jackie Shroff|Ali Fazal|Manisha Koirala|Chunky Pandey|Satyajeet Dubey|Amyra Dastur|,"Action, Drama",6.5,11.0
Crime|Drama|Romance,P Se Pyaar F Se Faraar,Bhavesh Kumar|Jimmy Sheirgill|Kumud Mishra|Sanjay Mishra|Girish Kulkarni|Zakir Hussain|Brijendra Kala|Akhilendra Mishra|Asif Basra|Neha Joshi|,"Crime, Drama, Romance",10.0,2.0
Horror|Thriller,Ghost,Sanaya Irani|Shivam Bhaargava|Vikram Bhatt|Ameet Chana|Ananya Sengupta|Caroline Wilde|Monisha Hassen|,"Fantasy, Drama, Thriller, Mystery, Romance",7.213,5394.0
Comedy,Bala,Ayushmann Khurrana|Bhumi Pednekar|Yami Gautam|Javed Jaffrey|Saurabh Shukla|Sunita Rajwar|Seema Bhargava|Abhishek Banerjee|Deepika Chikhalia|Manoj Pahwa|Sachin Chaudhary|,Thriller,10.0,1.0
Comedy|Romance,Yaaram,Siddhanth Kapoor|Prateik|Anita Raj|Ishita Raj|Subha Rajput|Natasha Stankovic|,,5.0,1.0
Action|Comedy|Fantasy,Housefull 4,Akshay Kumar|Riteish Deshmukh|Bobby Deol|Kriti Sanon|Pooja Hegde|Kriti Kharbanda|Rana Daggubati|Sammy John Heaney|Sharad Kelkar|Aakash Dabhade|Chunky Pandey|Ranjeet|Johnny Lever|Saurabh Sachdeva|,"Comedy, Drama, Romance",5.715,79.0
Biography|Drama,Saand Ki Aankh,Taapsee Pannu|Bhumi Pednekar|Prakash Jha|Viineet Kumar|Pawan Chopra|,Drama,7.0,23.0
Comedy|Drama,Made in China,Rajkummar Rao|Mouni Roy|Boman Irani|Paresh Rawal|Gajraj Rao|Sumeet Vyas|Amyra Dastur|,"Comedy, Drama",5.5,127.0
Comedy,Ujda Chaman,Sunny Singh Nijjar|Maanvi Gagroo|Saurabh Shukla|Atul Kumar|Grusha Kapoor|Gagan Arora|Karishma Sharma|,"Comedy, Drama",6.389,18.0
Drama|Thriller,Bypass Road,Neil Nitin Mukesh|Adah Sharma|Gul Panag|Taher Shabbir|Shama Sikander|Manish Chaudhary|Rajit Kapoor|,"Drama, Thriller",5.3,7.0
Action|Drama,Satellite Shankar,Suraj Pancholi|Anil Reji|,"Action, Drama",7.571,7.0
Drama,Jhalki,Boman Irani|Tannishtha Chatterjee|Divya Dutta|Sanjay Suri|Akhilendra Mishra|Govind Namdeo|Yatin Karyekar|Joy Sengupta|Sailesh Dubey|Bachan Pachehra|Sanchita Goswami|Goraksha Sakpal|Vikram Singh|Aarti Jha|,Drama,7.2,4.0
Action|Romance,Marjaavaan,Riteish Deshmukh|Sidharth Malhotra|Tara Sutaria|Rakul Preet Singh|,"Romance, Action",7.4,30.0
Comedy|Romance,Motichoor Chaknachoor,Nawazuddin Siddiqui|Athiya Shetty|Vibha Chhibber|Sanjeev Vatsa|Bhumika Dube|Devansh Kumar|,"Romance, Drama",6.1,19.0
Action|Thriller,Keep Safe Distance,Shahbaaz Khan|Adi Irani|Vikas Anand|Kiran Kumar|Anil Nagrath|Sagarika Neha|Laxman Singh Rajput|Pradeep Kabra|Shilpa Gandhi|Jai Yadav|Abhishek Khanna|Vishnu Dhanraj Sharma|,"Action, Drama",0.0,0.0
Action|Comedy,Pagalpanti,Kriti Kharbanda|John Abraham|Ileana D'Cruz|Anil Kapoor|Urvashi Rautela|Jamie-Lee Beacher|Atul Sharma|Saurabh Shukla|Arshad Warsi|Sammy John Heaney|Vaunisha Kapoor|Pulkit Samrat|Simran Kaur|Manoj Anand|,"Comedy, Drama",0.0,0.0
Comedy|Drama,Ramprasad Ki Tehrvi,Naseeruddin Shah|Vikrant Massey|Konkona Sen Sharma|Vinay Pathak|Manoj Pahwa|Parambrata Chattopadhyay|Supriya Pathak|Deepika Amin|Vineet Kumar|Sarika Singh|,"Drama, Family, Comedy",6.0,15.0
Thriller,Yeh Saali Aashiqui,Vardhan Puri|Jessey Lever|,"Thriller, Romance",8.786,7.0
