genre,movie_name,cast,director,TMDB_Genre,Vote_Average,Vote_Count
"Action, Thriller",Jawan,"Shah Rukh Khan, Nayanthara, Vijay Sethupathi, Deepika Padukone",Atlee,"Action, Adventure, Thriller",7.2,225.0
"Crime, Drama, Mystery",Jaane Jaan,"Kareena Kapoor, Jaideep Ahlawat, Vijay Varma, Saurabh Sachdeva",Sujoy Ghosh,"Crime, Thriller, Drama",7.1,80.0
"Action, Comedy, Crime",Jailer,"Rajinikanth, Mohanlal, Shivarajkumar, Jackie Shroff",Nelson Dilipkumar,,0.0,0.0
"Comedy, Drama, Family",Rocky Aur Rani Kii Prem Kahaani,"Ranveer Singh, Alia Bhatt, Dharmendra, Shabana Azmi",Karan Johar,"Comedy, Drama, Family, Romance",6.125,48.0
"Comedy, Drama",OMG 2,"Pankaj Tripathi, Akshay Kumar, Yami Gautam, Pawan Malhotra",Amit Rai,"Comedy, Drama",7.3,41.0
Drama,Sukhee,"Shilpa Shetty Kundra, Amit Sadh, Chaitannya Choudhry, Kusha Kapila",Sonal Joshi,"Comedy, Drama",5.0,4.0
Family,The Great Indian Family,"Alka Amin, Bhuvan Arora, Manushi Chhillar, Srishti Dixit",Vijay Krishna Acharya,"Comedy, Drama",4.2,4.0
"Adventure, Family, Fantasy",The BFG,"Mark Rylance, Ruby Barnhill, Penelope Wilton, Jemaine Clement",Steven Spielberg,"Adventure, Family, Fantasy",6.27,3279.0
"Action, Adventure, Thriller",Pathaan,"Shah Rukh Khan, Deepika Padukone, John Abraham, Dimple Kapadia",Siddharth Anand,"Action, Adventure, Thriller, Drama",6.58,175.0
"Action, Drama, History",Mastaney,"Tarsem Jassar, Simi Chahal, Gurpreet Ghuggi, Karamjit Anmol",Sharan Art,"Action, Drama, History",10.0,1.0
"Comedy, Drama",3 Idiots,"Aamir Khan, Madhavan, Mona Singh, Sharman Joshi",Rajkumar Hirani,"Drama, Comedy",7.997,2301.0
"Comedy, Drama, Musical",Satyaprem Ki Katha,"Kartik Aaryan, Kiara Advani, Supriya Pathak, Gajraj Rao",Sameer Vidwans,"Drama, Romance",6.926,27.0
"Biography, Drama",Lion,"Dev Patel, Nicole Kidman, Rooney Mara, Sunny Pawar",Garth Davis,Drama,8.071,6426.0
"Action, Drama",Bholaa Shankar,"Chiranjeevi, Tamannaah Bhatia, Keerthy Suresh, Raghu Babu",Meher Ramesh,"Action, Crime, Drama, Thriller",5.7,3.0
"Crime, Drama",Haddi,"Nawazuddin Siddiqui, Anurag Kashyap, Mohd. Zeeshan Ayyub, Resh Lamba",Akshat Ajay Sharma,"Drama, Crime",5.2,5.0
"Comedy, Drama",Friday Night Plan,"Babil Khan, Amrith Jayan, Medha Rana, Aadhya Anand",Vatsal Neelakantan,"Comedy, Drama",5.7,7.0
"Crime, Mystery, Thriller",Neeyat,"Vidya Balan, Ram Kapoor, Rahul Bose, Neeraj Kabi",Anu Menon,,0.0,0.0
"Action, Adventure, Drama",Gadar 2,"Sunny Deol, Amrish Puri, Nana Patekar, Ameesha Patel",Anil Sharma,"Action, Drama",6.459,37.0
"Action, Crime, Thriller",Por Thozhil,"R. Sarathkumar, Ashok Selvan, Nikhila Vimal, Sarath Babu","Vignesh Raja, T. Senthil Paramasivam","Crime, Thriller, Action",7.725,19.0
"Adventure, Drama, Fantasy",Life of Pi,"Suraj Sharma, Irrfan Khan, Adil Hussain, Tabu",Ang Lee,"Adventure, Drama",7.402,12840.0
"Action, Biography, Drama",Asoka,"Shah Rukh Khan, Kareena Kapoor, Danny Denzongpa, Hrishitaa Bhatt",Santosh Sivan,"Action, Adventure, Drama, History, Romance, War",6.5,145.0
"Adventure, Comedy, Drama",The Darjeeling Limited,"Owen Wilson, Adrien Brody, Jason Schwartzman, Amara Karan",Wes Anderson,"Adventure, Drama, Comedy",7.164,3447.0
"Action, Biography, Drama",Dangal,"Aamir Khan, Sakshi Tanwar, Fatima Sana Shaikh, Sanya Malhotra",Nitesh Tiwari,"Drama, Family, Comedy, Action",7.909,935.0
"Drama, Fantasy, Horror",Tumbbad,"Sohum Shah, Jyoti Malshe, Anita Date-Kelkar, Ronjini Chakraborty","Rahi Anil Barve, Anand Gandhi, Adesh Prasad","Fantasy, Horror",7.474,233.0
"Comedy, Drama",Dunki,"Shah Rukh Khan, Taapsee Pannu, Boman Irani, Vicky Kaushal",Rajkumar Hirani,"War, Action, Drama",7.456,16150.0
"Crime, Drama, Thriller",Sirf Ek Bandaa Kaafi Hai,"Manoj Bajpayee, Surya Mohan Kulshreshtha, Jai Hind Kumar, Nikhil Pandey",Apoorv Singh Karki,Drama,7.105,19.0
"Action, Comedy, Crime",Gangs of Wasseypur,"Manoj Bajpayee, Nawazuddin Siddiqui, Tigmanshu Dhulia, Richa Chadha",Anurag Kashyap,"Action, Thriller, Crime",7.1,350.0
"Action, Biography, Crime",Khufiya,"Tabu, Ali Fazal, Wamiqa Gabbi, Azmeri Haque Badhon",Vishal Bhardwaj,"Crime, Thriller, Mystery",6.4,29.0
"Action, Crime, Drama",Animal,"Ranbir Kapoor, Triptii Dimri, Saurabh Sachdeva, Anil Kapoor",Sandeep Reddy Vanga,"Action, Crime, Drama",6.505,94.0
"Comedy, Drama, Romance",Miss Shetty Mr Polishetty,"Keshav Deepak, Abhinav Gomatam, Jayasudha, Koushik Mahata",Mahesh Babu P.,"Comedy, Drama, Romance, Thriller",6.31,21.0
"Action, Drama, Romance",Bawaal,"Varun Dhawan, Janhvi Kapoor, Manoj Pahwa, Anjuman Saxena",Nitesh Tiwari,"Drama, Romance, Comedy, History",6.225,20.0
"Action, Adventure, Fantasy",Brahmastra Part One: Shiva,"Amitabh Bachchan, Ranbir Kapoor, Alia Bhatt, Nagarjuna Akkineni",Ayan Mukerji,"Fantasy, Action, Adventure",6.513,159.0
"Drama, Sport",Ghoomer,"Amitabh Bachchan, Shabana Azmi, Abhishek Bachchan, Saiyami Kher",R. Balki,Drama,8.6,6.0
"Action, Adventure, Thriller",Tiger 3,"Salman Khan, Katrina Kaif",Maneesh Sharma,"Action, Adventure, Thriller",5.744,41.0
"Comedy, Romance",Tu Jhoothi Main Makkaar,"Ranbir Kapoor, Shraddha Kapoor, Krrish Saini, Anubhav Singh Bassi",Luv Ranjan,"Comedy, Romance",6.344,125.0
"Crime, Drama, Mystery",Drishyam 2,"Ajay Devgn, Akshaye Khanna, Tabu, Shriya Saran",Abhishek Pathak,"Crime, Thriller, Drama, Mystery",7.971,68.0
"Biography, Drama, History",Gandhi,"Ben Kingsley, John Gielgud, Rohini Hattangadi, Roshan Seth",Richard Attenborough,"Drama, History",7.556,2232.0
"Comedy, Drama, Sci-Fi",PK,"Aamir Khan, Anushka Sharma, Sanjay Dutt, Boman Irani",Rajkumar Hirani,"Comedy, Drama, Family",10.0,1.0
"Adventure, Drama, Romance",My Name Is Khan,"Shah Rukh Khan, Kajol, Sheetal Menon, Katie Amanda Keane",Karan Johar,"Drama, Romance",8.038,1270.0
"Action, Crime, Drama",Raees,"Shah Rukh Khan, Jaideep Ahlawat, Sunny Leone, Nawazuddin Siddiqui",Rahul Dholakia,"Thriller, Action, Crime",6.7,215.0
"Action, Drama",Rama Banam,"Gopichand, Dimple Hayathi, Jagapathi Babu, Kushboo",Sriwass,"Action, Comedy",3.5,6.0
"Crime, Mystery, Thriller",Andhadhun,"Tabu, Ayushmann Khurrana, Radhika Apte, Anil Dhawan",Sriram Raghavan,"Crime, Mystery, Thriller, Comedy",7.665,481.0
Comedy,Thank You for Coming,"Bhumi Pednekar, Dolly Ahluwalia, Shibani Bedi, Saloni Daini",Karan Boolani,"Comedy, Drama",4.25,7.0
