Title,Cast and crew,Genre,Vote_Average,Vote_Count,Combined_Features
insidious: the last key,adam robitel leigh whannell lin shaye angus sampson leigh whannell spencer locke caitlin gerard bruce davison,horror thriller,6.258,2818.0,adam robitel leigh whannell lin shaye angus sampson leigh whannell spencer locke caitlin gerard bruce davison horror thriller
the strange ones,christopher radcliff lauren wolkstein alex pettyfer james freedson jackson emily althaus gene jones owen campbell tobias campbell,drama mystery,6.9,18.0,christopher radcliff lauren wolkstein alex pettyfer james freedson jackson emily althaus gene jones owen campbell tobias campbell drama mystery
the commuter,jaume collet serra byron willinger philip de blasi ryan engle liam neeson vera farmiga patrick wilson jonathan banks sam neill,action thriller mystery,6.36,4289.0,jaume collet serra byron willinger philip de blasi ryan engle liam neeson vera farmiga patrick wilson jonathan banks sam neill action thriller mystery
proud mary,babak najafi john s newman christian swegal steve antin taraji p henson jahi di allo winston billy brown danny glover,thriller action crime,5.5,482.0,babak najafi john s newman christian swegal steve antin taraji p henson jahi di allo winston billy brown danny glover thriller action crime
acts of violence,brett donowho nicolas aaron mezzanatto bruce willis cole hauser shawn ashmore ashton holmes melissa bolona sophia bush mike epps,action crime thriller,5.6,393.0,brett donowho nicolas aaron mezzanatto bruce willis cole hauser shawn ashmore ashton holmes melissa bolona sophia bush mike epps action crime thriller
freak show,trudie styler patrick j clifton beth rigazio alex lawther abigail breslin annasophia robb ian nelson celia weston laverne cox bette midler,comedy drama,6.853,116.0,trudie styler patrick j clifton beth rigazio alex lawther abigail breslin annasophia robb ian nelson celia weston laverne cox bette midler comedy drama
humor me,sam hoffman jemaine clement elliott gould ingrid michaelson annie potts priscilla lopez bebe neuwirth maria dizzia,comedy,6.1,18.0,sam hoffman jemaine clement elliott gould ingrid michaelson annie potts priscilla lopez bebe neuwirth maria dizzia comedy
12 strong,nicolai fuglsig ted tally peter craig chris hemsworth michael shannon michael pe a navid negahban trevante rhodes geoff stults thad luckinbill,war drama action history,6.311,2876.0,nicolai fuglsig ted tally peter craig chris hemsworth michael shannon michael pe a navid negahban trevante rhodes geoff stults thad luckinbill war drama action history
den of thieves,christian gudegast gerard butler pablo schreiber o shea jackson jr cent,action crime thriller,6.804,2766.0,christian gudegast gerard butler pablo schreiber o shea jackson jr cent action crime thriller
forever my girl,bethany ashton wolf alex roe jessica rothe john benjamin hickey abby ryder fortson travis tritt,romance drama music,7.602,1175.0,bethany ashton wolf alex roe jessica rothe john benjamin hickey abby ryder fortson travis tritt romance drama music
thane of east county,jesse keller carr cavender molly beucher connor sullivan karl backus joshua alan jones ron christopher jones brian patrick butler,drama thriller,4.0,2.0,jesse keller carr cavender molly beucher connor sullivan karl backus joshua alan jones ron christopher jones brian patrick butler drama thriller
maze runner: the death cure,wes ball t s nowlin dylan o brien kaya scodelario thomas brodie sangster nathalie emmanuel giancarlo esposito aidan gillen walton goggins ki hong lee barry pepper will poulter patricia clarkson,science fiction action adventure thriller,7.11,7540.0,wes ball t s nowlin dylan o brien kaya scodelario thomas brodie sangster nathalie emmanuel giancarlo esposito aidan gillen walton goggins ki hong lee barry pepper will poulter patricia clarkson science fiction action adventure thriller
please stand by,ben lewin michael golamco dakota fanning toni collette alice eve river alexander patton oswalt,comedy drama,6.801,454.0,ben lewin michael golamco dakota fanning toni collette alice eve river alexander patton oswalt comedy drama
winchester,the spierig brothers tom vaughan helen mirren jason clarke sarah snook,horror thriller,5.903,1683.0,the spierig brothers tom vaughan helen mirren jason clarke sarah snook horror thriller
a fantastic woman,sebasti n lelio gonzalo maza daniela vega francisco reyes morand,drama,7.036,671.0,sebasti n lelio gonzalo maza daniela vega francisco reyes morand drama
armed,mario van peebles mario van peebles ryan guzman columbus short jemma dallender brad carter shakira barrera laz alonso dionne warwick melvin van peebles roland martin rocsi diaz van jones paul rodriguez william fichtner,action thriller,4.8,19.0,mario van peebles mario van peebles ryan guzman columbus short jemma dallender brad carter shakira barrera laz alonso dionne warwick melvin van peebles roland martin rocsi diaz van jones paul rodriguez william fichtner action thriller
the cloverfield paradox,julius onah oren uziel gugu mbatha raw elizabeth debicki aksel hennie daniel br hl chris o dowd john ortiz david oyelowo zhang ziyi,horror science fiction action,5.607,3159.0,julius onah oren uziel gugu mbatha raw elizabeth debicki aksel hennie daniel br hl chris o dowd john ortiz david oyelowo zhang ziyi horror science fiction action
bad apples,bryan coyne brea grant graham skipper aly fitzgerald heather vaughn richard riehle,comedy,0.0,0.0,bryan coyne brea grant graham skipper aly fitzgerald heather vaughn richard riehle comedy
peter rabbit,will gluck rob lieber rose byrne domhnall gleeson sam neill daisy ridley elizabeth debicki marianne jean baptiste margot robbie james corden,animation adventure family,6.684,1729.0,will gluck rob lieber rose byrne domhnall gleeson sam neill daisy ridley elizabeth debicki marianne jean baptiste margot robbie james corden animation adventure family
pad man,r balki swanand kirkire akshay kumar radhika apte,comedy drama,7.4,195.0,r balki swanand kirkire akshay kumar radhika apte comedy drama
fifty shades freed,james foley niall leonard dakota johnson jamie dornan eric johnson rita ora luke grimes victor rasuk jennifer ehle marcia gay harden,drama romance,6.705,7846.0,james foley niall leonard dakota johnson jamie dornan eric johnson rita ora luke grimes victor rasuk jennifer ehle marcia gay harden drama romance
the 15:17 to paris,clint eastwood dorothy blyskal anthony sadler alek skarlatos spencer stone,drama thriller,5.427,1562.0,clint eastwood dorothy blyskal anthony sadler alek skarlatos spencer stone drama thriller
permission,brian crano rebecca hall dan stevens gina gershon fran ois arnaud morgan spector david joseph craig jason sudeikis,comedy romance drama,5.0,150.0,brian crano rebecca hall dan stevens gina gershon fran ois arnaud morgan spector david joseph craig jason sudeikis comedy romance drama
golden exits,alex ross perry emily browning adam horowitz mary louise parker jason schwartzman chlo sevigny analeigh tipton,drama,5.7,49.0,alex ross perry emily browning adam horowitz mary louise parker jason schwartzman chlo sevigny analeigh tipton drama
black panther,ryan coogler joe robert cole chadwick boseman michael b jordan lupita nyong o danai gurira martin freeman daniel kaluuya letitia wright winston duke sterling k brown angela bassett forest whitaker andy serkis,action adventure science fiction,7.386,21806.0,ryan coogler joe robert cole chadwick boseman michael b jordan lupita nyong o danai gurira martin freeman daniel kaluuya letitia wright winston duke sterling k brown angela bassett forest whitaker andy serkis action adventure science fiction
nostalgia,mark pellington alex ross perry jon hamm catherine keener john ortiz nick offerman james legros bruce dern ellen burstyn,drama,5.5,28.0,mark pellington alex ross perry jon hamm catherine keener john ortiz nick offerman james legros bruce dern ellen burstyn drama
samson,bruce macdonald jason baumgardner zach smith timothy ratajczak galen gilbert taylor james jackson rathbone billy zane caitlin leahy rutger hauer lindsay wagner,action drama adventure,5.8,227.0,bruce macdonald jason baumgardner zach smith timothy ratajczak galen gilbert taylor james jackson rathbone billy zane caitlin leahy rutger hauer lindsay wagner action drama adventure
game night,john francis daley jonathan goldstein s mark perez jason bateman rachel mcadams billy magnussen sharon horgan lamorne morris kylie bunbury jesse plemons michael c hall kyle chandler,mystery comedy crime,6.9,5619.0,john francis daley jonathan goldstein s mark perez jason bateman rachel mcadams billy magnussen sharon horgan lamorne morris kylie bunbury jesse plemons michael c hall kyle chandler mystery comedy crime
annihilation,alex garland natalie portman jennifer jason leigh gina rodriguez tessa thompson tuva novotny oscar isaac,science fiction horror,6.413,8402.0,alex garland natalie portman jennifer jason leigh gina rodriguez tessa thompson tuva novotny oscar isaac science fiction horror
every day,michael sucsy jesse andrews angourie rice justice smith debby ryan maria bello,drama comedy romance,5.149,86.0,michael sucsy jesse andrews angourie rice justice smith debby ryan maria bello drama comedy romance
the cured,david freyne ellen page sam keeley tom vaughan lawlor,horror drama science fiction,5.514,349.0,david freyne ellen page sam keeley tom vaughan lawlor horror drama science fiction
red sparrow,francis lawrence justin haythe jennifer lawrence joel edgerton matthias schoenaerts jeremy irons,thriller mystery,6.535,5807.0,francis lawrence justin haythe jennifer lawrence joel edgerton matthias schoenaerts jeremy irons thriller mystery
death wish,eli roth joe carnahan bruce willis vincent d onofrio elisabeth shue dean norris kimberly elise,action crime drama thriller,6.164,2499.0,eli roth joe carnahan bruce willis vincent d onofrio elisabeth shue dean norris kimberly elise action crime drama thriller
the vanishing of sidney hall,shawn christensen jason dolan logan lerman elle fanning michelle monaghan nathan lane kyle chandler,drama mystery romance,6.71,245.0,shawn christensen jason dolan logan lerman elle fanning michelle monaghan nathan lane kyle chandler drama mystery romance
pickings,usher morgan elyse price katie vincent joel bernard joe trombino emil ferzola yaron urbas,thriller action crime drama mystery,6.3,7.0,usher morgan elyse price katie vincent joel bernard joe trombino emil ferzola yaron urbas thriller action crime drama mystery
a wrinkle in time,ava duvernay jennifer lee jeff stockwell storm reid oprah winfrey reese witherspoon mindy kaling gugu mbatha raw michael pe a zach galifianakis chris pine,adventure science fiction family fantasy,5.1,1762.0,ava duvernay jennifer lee jeff stockwell storm reid oprah winfrey reese witherspoon mindy kaling gugu mbatha raw michael pe a zach galifianakis chris pine adventure science fiction family fantasy
gringo,nash edgerton matthew stone anthony tambakis david oyelowo charlize theron joel edgerton amanda seyfried thandiwe newton sharlto copley,comedy action crime,5.876,715.0,nash edgerton matthew stone anthony tambakis david oyelowo charlize theron joel edgerton amanda seyfried thandiwe newton sharlto copley comedy action crime
thoroughbreds,cory finley olivia cooke anya taylor joy anton yelchin paul sparks francie swift,drama thriller,6.431,1108.0,cory finley olivia cooke anya taylor joy anton yelchin paul sparks francie swift drama thriller
the strangers: prey at night,johannes roberts bryan bertino ben ketai christina hendricks martin henderson bailee madison lewis pullman,horror thriller,5.7,1314.0,johannes roberts bryan bertino ben ketai christina hendricks martin henderson bailee madison lewis pullman horror thriller
the hurricane heist,rob cohen scott windhauser jeff dixon toby kebbell maggie grace ryan kwanten ralph ineson melissa bolona james cutler ben cross,action crime thriller,5.665,980.0,rob cohen scott windhauser jeff dixon toby kebbell maggie grace ryan kwanten ralph ineson melissa bolona james cutler ben cross action crime thriller
tomb raider,roar uthaug geneva robertson dworet alastair siddons alicia vikander dominic west walton goggins daniel wu kristin scott thomas,action adventure fantasy,6.36,7619.0,roar uthaug geneva robertson dworet alastair siddons alicia vikander dominic west walton goggins daniel wu kristin scott thomas action adventure fantasy
"love, simon",greg berlanti isaac aptaker elizabeth berger nick robinson josh duhamel jennifer garner,comedy drama romance,8.01,5957.0,greg berlanti isaac aptaker elizabeth berger nick robinson josh duhamel jennifer garner comedy drama romance
i can only imagine,erwin brothers s jon erwin brent mccorkle j michael finley madeline carroll trace adkins priscilla shirer cloris leachman dennis quaid,music drama,7.494,450.0,erwin brothers s jon erwin brent mccorkle j michael finley madeline carroll trace adkins priscilla shirer cloris leachman dennis quaid music drama
entebbe,jos padilha gregory burke rosamund pike daniel br hl eddie marsan ben schnetzer lior ashkenazi denis m nochet,thriller drama crime,5.836,400.0,jos padilha gregory burke rosamund pike daniel br hl eddie marsan ben schnetzer lior ashkenazi denis m nochet thriller drama crime
furlough,laurie collyer barry strugatz tessa thompson melissa leo whoopi goldberg anna paquin,comedy,5.833,52.0,laurie collyer barry strugatz tessa thompson melissa leo whoopi goldberg anna paquin comedy
josie,eric england anthony ragnone ii sophie turner dylan mcdermott jack kilmer micah fitzgerald lombardo boyar daeg faerch robin bartlett kurt fuller,thriller drama,5.183,93.0,eric england anthony ragnone ii sophie turner dylan mcdermott jack kilmer micah fitzgerald lombardo boyar daeg faerch robin bartlett kurt fuller thriller drama
flower,max winkler alex mcaulay matt spicer zoey deutch kathryn hahn tim heidecker adam scott joey morgan dylan gelula,comedy drama,6.319,248.0,max winkler alex mcaulay matt spicer zoey deutch kathryn hahn tim heidecker adam scott joey morgan dylan gelula comedy drama
pacific rim uprising,steven s deknight emily carmichael kira snyder t s nowlin john boyega scott eastwood jing tian cailee spaeny rinko kikuchi burn gorman adria arjona zhang jin charlie day,action fantasy science fiction adventure,6.135,4808.0,steven s deknight emily carmichael kira snyder t s nowlin john boyega scott eastwood jing tian cailee spaeny rinko kikuchi burn gorman adria arjona zhang jin charlie day action fantasy science fiction adventure
isle of dogs,wes anderson bryan cranston koyu rankin edward norton liev schreiber bill murray bob balaban jeff goldblum scarlett johansson kunichi nomura tilda swinton ken watanabe akira ito greta gerwig akira takayama frances mcdormand f murray abraham yojiro noda fisher stevens mari natsuki nijir murakami yoko ono harvey keitel frank wood,adventure comedy animation,7.848,4729.0,wes anderson bryan cranston koyu rankin edward norton liev schreiber bill murray bob balaban jeff goldblum scarlett johansson kunichi nomura tilda swinton ken watanabe akira ito greta gerwig akira takayama frances mcdormand f murray abraham yojiro noda fisher stevens mari natsuki nijir murakami yoko ono harvey keitel frank wood adventure comedy animation
sherlock gnomes,john stevenson ben zazove james mcavoy emily blunt chiwetel ejiofor michael caine ashley jensen maggie smith matt lucas stephen merchant ozzy osbourne mary j blige julie walters richard wilson jamie demetriou johnny depp dexter fletcher james hong eve webster julio bonet,animation family fantasy comedy adventure mystery,5.633,693.0,john stevenson ben zazove james mcavoy emily blunt chiwetel ejiofor michael caine ashley jensen maggie smith matt lucas stephen merchant ozzy osbourne mary j blige julie walters richard wilson jamie demetriou johnny depp dexter fletcher james hong eve webster julio bonet animation family fantasy comedy adventure mystery
unsane,steven soderbergh jonathan bernstein james greer claire foy joshua leonard jay pharoah juno temple aimee mullins amy irving matt damon,horror thriller,6.246,1473.0,steven soderbergh jonathan bernstein james greer claire foy joshua leonard jay pharoah juno temple aimee mullins amy irving matt damon horror thriller
"paul, apostle of christ",andrew hyatt jim caviezel olivier martinez james faulkner joanne whalley john lynch,drama,7.575,341.0,andrew hyatt jim caviezel olivier martinez james faulkner joanne whalley john lynch drama
final portrait,stanley tucci geoffrey rush armie hammer cl mence po sy tony shalhoub james faulkner sylvie testud,history drama,6.045,166.0,stanley tucci geoffrey rush armie hammer cl mence po sy tony shalhoub james faulkner sylvie testud history drama
midnight sun,scott speer eric kirsten bella thorne patrick schwarzenegger rob riggle quinn shephard suleka mathew,romance drama,7.794,3331.0,scott speer eric kirsten bella thorne patrick schwarzenegger rob riggle quinn shephard suleka mathew romance drama
ready player one,steven spielberg zak penn ernest cline tye sheridan olivia cooke ben mendelsohn t j miller simon pegg mark rylance,adventure action science fiction,7.6,15177.0,steven spielberg zak penn ernest cline tye sheridan olivia cooke ben mendelsohn t j miller simon pegg mark rylance adventure action science fiction
acrimony,tyler perry taraji p henson lyriq bent crystle stewart ptosha storey jazmyn simon ajiona alexus antonio madison bresha webb danielle nicolet nelson estevez kendrick cross,drama thriller,6.7,372.0,tyler perry taraji p henson lyriq bent crystle stewart ptosha storey jazmyn simon ajiona alexus antonio madison bresha webb danielle nicolet nelson estevez kendrick cross drama thriller
god's not dead: a light in darkness,michael mason david a r white john corbett shane harper ted mcginley tatum o neal,drama,6.6,203.0,michael mason david a r white john corbett shane harper ted mcginley tatum o neal drama
gemini,aaron katz lola kirke zo kravitz greta lee nelson franklin reeve carney jessica parker kennedy ricki lake john cho,mystery crime drama thriller,5.4,131.0,aaron katz lola kirke zo kravitz greta lee nelson franklin reeve carney jessica parker kennedy ricki lake john cho mystery crime drama thriller
the last movie star,adam rifkin burt reynolds ariel winter clark duke ellar coltrane chevy chase,drama,6.4,100.0,adam rifkin burt reynolds ariel winter clark duke ellar coltrane chevy chase drama
a quiet place,john krasinski bryan woods scott beck emily blunt john krasinski millicent simmonds noah jupe,horror drama science fiction,7.399,13724.0,john krasinski bryan woods scott beck emily blunt john krasinski millicent simmonds noah jupe horror drama science fiction
blockers,kay cannon brian kehoe jim kehoe leslie mann ike barinholtz john cena,comedy,6.305,1945.0,kay cannon brian kehoe jim kehoe leslie mann ike barinholtz john cena comedy
you were never really here,lynne ramsay joaquin phoenix judith roberts ekaterina samsonov john doman alex manette dante pereira olson alessandro nivola,crime drama thriller,6.563,2697.0,lynne ramsay joaquin phoenix judith roberts ekaterina samsonov john doman alex manette dante pereira olson alessandro nivola crime drama thriller
chappaquiddick,john curran taylor allen andrew logan jason clarke kate mara ed helms jim gaffigan clancy brown olivia thirlby bruce dern,history drama thriller,6.073,248.0,john curran taylor allen andrew logan jason clarke kate mara ed helms jim gaffigan clancy brown olivia thirlby bruce dern history drama thriller
the miracle season,sean mcnamara david aaron cohen elissa matsueda erin moriarty helen hunt william hurt danika yarosh,drama,7.237,295.0,sean mcnamara david aaron cohen elissa matsueda erin moriarty helen hunt william hurt danika yarosh drama
paterno,barry levinson debora cahn john c richards al pacino riley keough kathy baker greg grunberg annie parisse ben cook peter jacobson michael mastro murphy guyer nicholas sadler julian gamble georgia buchanan thomas bradshaw corwin tuggles celia au jamie eddy john d leo midori francis tess frazer colby minifie james saito jim johnson larry mitchell darren goldstein kristen bush sean cullen steve coulter tom kemp william hill josh mowrey camrus johnson,drama tv movie,6.24,169.0,barry levinson debora cahn john c richards al pacino riley keough kathy baker greg grunberg annie parisse ben cook peter jacobson michael mastro murphy guyer nicholas sadler julian gamble georgia buchanan thomas bradshaw corwin tuggles celia au jamie eddy john d leo midori francis tess frazer colby minifie james saito jim johnson larry mitchell darren goldstein kristen bush sean cullen steve coulter tom kemp william hill josh mowrey camrus johnson drama tv movie
beirut,brad anderson tony gilroy jon hamm rosamund pike dean norris larry pine shea whigham,action thriller drama,6.268,533.0,brad anderson tony gilroy jon hamm rosamund pike dean norris larry pine shea whigham action thriller drama
rampage,brad peyton ryan engle carlton cuse ryan condal adam sztykiel dwayne johnson naomie harris malin kerman jake lacy jeffrey dean morgan,action adventure science fiction,6.462,6873.0,brad peyton ryan engle carlton cuse ryan condal adam sztykiel dwayne johnson naomie harris malin kerman jake lacy jeffrey dean morgan action adventure science fiction
truth or dare,jeff wadlow michael reisz jillian jacobs chris roach lucy hale tyler posey violett beane hayden szeto landon liboiron,thriller horror,5.959,3903.0,jeff wadlow michael reisz jillian jacobs chris roach lucy hale tyler posey violett beane hayden szeto landon liboiron thriller horror
the rider,chlo zhao brady jandreau lilly jandreau tim jandreau lane scott cat clifford,drama western,7.281,475.0,chlo zhao brady jandreau lilly jandreau tim jandreau lane scott cat clifford drama western
sgt. stubby: an american hero,richard lanni mike stokey logan lerman helena bonham carter g rard depardieu,animation adventure family history war,7.8,182.0,richard lanni mike stokey logan lerman helena bonham carter g rard depardieu animation adventure family history war
sign gene,emilio insolera emilio insolera carola insolera ben bahan hiroshi vava humberto insolera noboru kuragawa,science fiction adventure,7.2,5.0,emilio insolera emilio insolera carola insolera ben bahan hiroshi vava humberto insolera noboru kuragawa science fiction adventure
