Title,Cast and crew,Genre,Vote_Average,Vote_Count,Combined_Features
jawan,shah rukh khan nayanthara vijay sethupathi deepika padukone,action adventure thriller,7.2,225.0,shah rukh khan nayanthara vijay sethupathi deepika padukone action adventure thriller
jaane jaan,kareena kapoor jaideep ahlawat vijay varma saurabh sachdeva,crime thriller drama,7.1,80.0,kareena kapoor jaideep ahlawat vijay varma saurabh sachdeva crime thriller drama
jailer,rajinikanth mohanlal shivarajkumar jackie shroff,,0.0,0.0,rajinikanth mohanlal shivarajkumar jackie shroff 
rocky aur rani kii prem kahaani,ranveer singh alia bhatt dharmendra shabana azmi,comedy drama family romance,6.125,48.0,ranveer singh alia bhatt dharmendra shabana azmi comedy drama family romance
omg 2,pankaj tripathi akshay kumar yami gautam pawan malhotra,comedy drama,7.3,41.0,pankaj tripathi akshay kumar yami gautam pawan malhotra comedy drama
sukhee,shilpa shetty kundra amit sadh chaitannya choudhry kusha kapila,comedy drama,5.0,4.0,shilpa shetty kundra amit sadh chaitannya choudhry kusha kapila comedy drama
the great indian family,alka amin bhuvan arora manushi chhillar srishti dixit,comedy drama,4.2,4.0,alka amin bhuvan arora manushi chhillar srishti dixit comedy drama
the bfg,mark rylance ruby barnhill penelope wilton jemaine clement,adventure family fantasy,6.27,3279.0,mark rylance ruby barnhill penelope wilton jemaine clement adventure family fantasy
pathaan,shah rukh khan deepika padukone john abraham dimple kapadia,action adventure thriller drama,6.58,175.0,shah rukh khan deepika padukone john abraham dimple kapadia action adventure thriller drama
mastaney,tarsem jassar simi chahal gurpreet ghuggi karamjit anmol,action drama history,10.0,1.0,tarsem jassar simi chahal gurpreet ghuggi karamjit anmol action drama history
3 idiots,aamir khan madhavan mona singh sharman joshi,drama comedy,7.997,2301.0,aamir khan madhavan mona singh sharman joshi drama comedy
satyaprem ki katha,kartik aaryan kiara advani supriya pathak gajraj rao,drama romance,6.926,27.0,kartik aaryan kiara advani supriya pathak gajraj rao drama romance
lion,dev patel nicole kidman rooney mara sunny pawar,drama,8.071,6426.0,dev patel nicole kidman rooney mara sunny pawar drama
bholaa shankar,chiranjeevi tamannaah bhatia keerthy suresh raghu babu,action crime drama thriller,5.7,3.0,chiranjeevi tamannaah bhatia keerthy suresh raghu babu action crime drama thriller
haddi,nawazuddin siddiqui anurag kashyap mohd zeeshan ayyub resh lamba,drama crime,5.2,5.0,nawazuddin siddiqui anurag kashyap mohd zeeshan ayyub resh lamba drama crime
friday night plan,babil khan amrith jayan medha rana aadhya anand,comedy drama,5.7,7.0,babil khan amrith jayan medha rana aadhya anand comedy drama
neeyat,vidya balan ram kapoor rahul bose neeraj kabi,,0.0,0.0,vidya balan ram kapoor rahul bose neeraj kabi 
gadar 2,sunny deol amrish puri nana patekar ameesha patel,action drama,6.459,37.0,sunny deol amrish puri nana patekar ameesha patel action drama
