Title,Cast and crew,Genre,Vote_Average,Vote_Count,Combined_Features
uri: the surgical strike,vicky kaushal paresh rawal mohit raina yami gautam kirti kulhari rajit kapoor ivan rodrigues manasi parekh swaroop sampat riva arora yogesh soman fareed ahmed akashdeep arora kallol banerjee,action drama war,7.078,411.0,vicky kaushal paresh rawal mohit raina yami gautam kirti kulhari rajit kapoor ivan rodrigues manasi parekh swaroop sampat riva arora yogesh soman fareed ahmed akashdeep arora kallol banerjee action drama war
battalion 609,vicky ahuja shoaib ibrahim shrikant kamat elena kazan vishwas kini major kishore jashn kohli rammy c pandey manish sharma sparsh sharma farnaz shetty vikas shrivastav chandraprakash thakur brajesh tiwari,action war drama,0.0,0.0,vicky ahuja shoaib ibrahim shrikant kamat elena kazan vishwas kini major kishore jashn kohli rammy c pandey manish sharma sparsh sharma farnaz shetty vikas shrivastav chandraprakash thakur brajesh tiwari action war drama
the accidental prime minister,anupam kher akshaye khanna aahana kumra atul sharma manoj anand arjun mathur suzanne bernert abdul quadir amin bharat mistri divya seth anil rastogi ramesh bhatkar parrgash kaur jess kaur,history drama,5.0,21.0,anupam kher akshaye khanna aahana kumra atul sharma manoj anand arjun mathur suzanne bernert abdul quadir amin bharat mistri divya seth anil rastogi ramesh bhatkar parrgash kaur jess kaur history drama
why cheat india,emraan hashmi shreya dhanwanthary snighdadeep chatterji navneet srivastava nanda yadav,drama crime,5.5,18.0,emraan hashmi shreya dhanwanthary snighdadeep chatterji navneet srivastava nanda yadav drama crime
evening shadows,mona ambegaonkar ananth narayan mahadevan devansh doshi arpit chaudhary yamini singh abhay kulkarni veena nair disha thakur kala ramanathan sushant divgikar,drama,5.7,6.0,mona ambegaonkar ananth narayan mahadevan devansh doshi arpit chaudhary yamini singh abhay kulkarni veena nair disha thakur kala ramanathan sushant divgikar drama
soni,geetika vidya ohlyan saloni batra vikas shukla mohit chauhan himanshu kohli gauri chakraborty mohinder gujral upasya goswami simrat kaur dimple kaur prateek pachori kalpana jha samar,drama crime,6.7,36.0,geetika vidya ohlyan saloni batra vikas shukla mohit chauhan himanshu kohli gauri chakraborty mohinder gujral upasya goswami simrat kaur dimple kaur prateek pachori kalpana jha samar drama crime
fraud saiyaan,arshad warsi saurabh shukla flora saini sara loren varun badola deepali pansare nivedita tiwari peeyush suhaney preeti sood parag tyagi anangsha biswas amanda rosario elli avrram,comedy drama,4.2,10.0,arshad warsi saurabh shukla flora saini sara loren varun badola deepali pansare nivedita tiwari peeyush suhaney preeti sood parag tyagi anangsha biswas amanda rosario elli avrram comedy drama
bombairiya,radhika apte akshay oberoi siddhanth kapoor ravi kishan adil hussain shilpa shukla ajinkya deo amit sial,comedy crime drama,7.2,8.0,radhika apte akshay oberoi siddhanth kapoor ravi kishan adil hussain shilpa shukla ajinkya deo amit sial comedy crime drama
manikarnika: the queen of jhansi,kangana ranaut rimi sen atul kulkarni nalneesh neel danny denzongpa mishti kulbhushan kharbanda mohammed zeeshan ayyub anil george vikram kochhar edward sonnenblick ankita lokhande richard keep jishu sengupta,history drama action,6.8,44.0,kangana ranaut rimi sen atul kulkarni nalneesh neel danny denzongpa mishti kulbhushan kharbanda mohammed zeeshan ayyub anil george vikram kochhar edward sonnenblick ankita lokhande richard keep jishu sengupta history drama action
thackeray,nawazuddin siddiqui amrita rao abdul quadir amin sanjay narvekar prakash belawadi vineet sharma radha sagar sonamoni jayant gadekar satish alekar micky makhija nikhil mahajan resh lamba jaywant wadkar laxman singh rajput,drama history,5.1,16.0,nawazuddin siddiqui amrita rao abdul quadir amin sanjay narvekar prakash belawadi vineet sharma radha sagar sonamoni jayant gadekar satish alekar micky makhija nikhil mahajan resh lamba jaywant wadkar laxman singh rajput drama history
amavas,ali asgar vivan bhatena nargis fakhri sachiin joshi shabnam karimzada kevin matadeen,horror romance thriller,5.5,4.0,ali asgar vivan bhatena nargis fakhri sachiin joshi shabnam karimzada kevin matadeen horror romance thriller
