movieId,title,genres
950071,Jaane Jaan,"Crime, Thriller, Drama"
872906,Jawan,"Action, Adventure, Thriller"
848116,Rocky Aur Rani Kii Prem Kahaani,"Comedy, Drama, Family, Romance"
888710,OMG 2,"Comedy, Drama"
1051769,Jailer,
984092,The Great Indian Family,"Comedy, Drama"
1161406,Mastaney,"Action, Drama, History"
267935,The BFG,"Adventure, Family, Fantasy"
945337,Sukhee,"Comedy, Drama"
864692,Pathaan,"Action, Adventure, Thriller, Drama"
20453,3 Idiots,"Drama, Comedy"
1020376,Satyaprem Ki Katha,"Drama, Romance"
334543,Lion,Drama
864221,Bholaa Shankar,"Action, Crime, Drama, Thriller"
1063633,Haddi,"Drama, Crime"
618323,Neeyat,
885331,Gadar 2,"Action, Drama"
1160562,Friday Night Plan,"Comedy, Drama"
1115239,Por Thozhil,"Crime, Thriller, Action"
87827,Life of Pi,"Adventure, Drama"
4538,The Darjeeling Limited,"Adventure, Drama, Comedy"
360814,Dangal,"Drama, Family, Comedy, Action"
4435,Asoka,"Action, Adventure, Drama, History, Romance, War"
538858,Tumbbad,"Fantasy, Horror"
374720,Dunki,"War, Action, Drama"
1123960,Sirf Ek Bandaa Kaafi Hai,Drama
117691,Gangs of Wasseypur,"Action, Thriller, Crime"
781732,Animal,"Action, Crime, Drama"
878926,Khufiya,"Crime, Thriller, Mystery"
1045385,Miss Shetty Mr Polishetty,"Comedy, Drama, Romance, Thriller"
1142127,Bawaal,"Drama, Romance, Comedy, History"
496331,Brahmastra Part One: Shiva,"Fantasy, Action, Adventure"
1158378,Ghoomer,Drama
720557,Tiger 3,"Action, Adventure, Thriller"
611359,Tu Jhoothi Main Makkaar,"Comedy, Romance"
783,Gandhi,"Drama, History"
1029827,Drishyam 2,"Crime, Thriller, Drama, Mystery"
1202888,PK,"Comedy, Drama, Family"
363343,Raees,"Thriller, Action, Crime"
26022,My Name Is Khan,"Drama, Romance"
1074641,Rama Banam,"Action, Comedy"
534780,Andhadhun,"Crime, Mystery, Thriller, Comedy"
957999,Thank You for Coming,"Comedy, Drama"
965489,Kushi,"Romance, Comedy, Drama"
1025067,Dream Girl 2,"Comedy, Romance"
7508,Taare Zameen Par,Drama
1018228,Chor Nikal Ke Bhaga,"Crime, Thriller"
1252030,Drishyam,"Action, Mystery, Thriller"
664332,Gangubai Kathiawadi,"Crime, Drama, History"
13528,Gaslight,"Thriller, Drama, Mystery, Crime"
1053348,The Buckingham Murders,"Mystery, Crime, Drama"
616720,Fighter,"Drama, Crime"
965606,Bholaa,"Action, Adventure, Crime, Thriller"
8079,Om Shanti Om,"Comedy, Thriller, Drama"
10757,Kabhi Khushi Kabhie Gham...,"Comedy, Drama"
1117411,The Kerala Story,Drama
432139,Vikram Vedha,"Action, Thriller, Crime, Adventure"
15774,"Swades: We, the People",Drama
348892,Bajrangi Bhaijaan,"Comedy, Drama, Action"
1014390,Bloody Daddy,"Action, Crime, Thriller"
1157429,Akelli,"Action, Drama, Thriller"
900783,The Kashmir Files,"History, Drama"
135718,OMG: Oh My God!,"Comedy, Drama, Family, Fantasy"
228194,The Hundred-Foot Journey,"Drama, Comedy"
734253,Adipurush,"Action, Adventure, Fantasy"
1114114,IB 71,"Action, Thriller, War"
61202,Zindagi Na Milegi Dobara,"Drama, Comedy, Romance"
132316,Jab Tak Hai Jaan,"Drama, Romance"
432527,Padmaavat,"Drama, History, Romance"
915831,Monica O My Darling,"Crime, Comedy, Drama, Mystery"
799177,Bhediya,"Comedy, Fantasy, Horror"
41517,Ra.One,"Adventure, Action, Science Fiction"
601635,Laal Singh Chaddha,"Drama, Romance"
388045,Chup,"Animation, Adventure, Fantasy, Horror, Family"
41109,Don 2,"Action, Thriller"
11854,Kuch Kuch Hota Hai,"Romance, Drama"
92979,Don,"Family, Drama"
685057,Devdas,"Drama, Romance"
974025,Gumraah,"Crime, Thriller"
933131,Badla,"Science Fiction, Action"
191714,The Lunchbox,"Drama, Romance"
920679,Zara Hatke Zara Bachke,"Comedy, Drama, Romance"
15268,Street Fighter: The Legend of Chun-Li,"Action, Adventure, Science Fiction, Thriller"
763118,Ganapath,"Action, Thriller"
801688,Kalki 2898-AD,"Drama, Action, Fantasy, Science Fiction"
4254,Kal Ho Naa Ho,"Comedy, Drama, Romance"
3933,Bride & Prejudice,"Romance, Fantasy, Animation"
1136736,Lust Stories 2,"Drama, Romance"
628534,The White Tiger,Drama
362045,Bajirao Mastani,"History, Romance, Drama"
142412,Kaun?,"Thriller, Mystery"
413543,Dear Zindagi,"Drama, Romance"
1041054,Freddy,"Romance, Thriller"
596650,Chhichhore,"Romance, Comedy, Drama"
185008,Yeh Jawaani Hai Deewani,"Romance, Comedy"
1074536,Sir,Drama
986594,Mrs. Chatterjee vs. Norway,"Drama, Thriller"
377985,Fan,"Action, Adventure, Thriller"
19625,Munna Bhai M.B.B.S.,"Comedy, Drama"
432139,Vikram Vedha,"Action, Thriller, Crime, Adventure"
205724,Welcome to the Jungle,Comedy
19666,Lagaan: Once Upon a Time in India,"Adventure, Romance, Drama"
946025,Kathal: A Jackfruit Mystery,"Mystery, Comedy, Crime, Drama"
1149268,Trial Period,"Comedy, Drama"
598826,Sardar Udham,"Crime, Drama, History"
966719,Kisi Ka Bhai Kisi Ki Jaan,"Romance, Action"
855117,King of Kotha,"Action, Drama, Crime"
85985,Ek Tha Tiger,"Action, Adventure, Thriller, Drama, Romance"
887109,HIT: The First Case,"Crime, Mystery, Thriller, Drama"
1014214,Singham Again,"Action, Drama"
268238,The Second Best Exotic Marigold Hotel,"Drama, Comedy"
19404,Dilwale Dulhania Le Jayenge,"Comedy, Drama, Romance"
496527,October,"Drama, Romance"
716309,Kill,"Thriller, Horror"
882826,An Action Hero,"Action, Crime, Comedy, Adventure, Thriller"
1046620,The Vaccine War,"Drama, Thriller"
11807,Jab We Met,"Drama, Comedy, Romance"
564147,K.G.F: Chapter 1,"Thriller, Action, Adventure, Crime"
237443,Mimi,"Drama, Romance"
755450,Godfather,
319760,Laila Majnu,"Drama, History"
939423,Afwaah,Drama
14070,Ghajini,"Action, Romance, Thriller"
441906,Jab Harry Met Sejal,"Comedy, Drama, Romance"
127501,Barfi!,"Drama, Romance, Comedy"
