Title,Vote_Average,Vote_Count,Weighted_Average
insidious: the last key,6.258,2818.0,6.220366172708002
the strange ones,6.9,18.0,6.084001759310334
the commuter,6.36,4289.0,6.319748580440716
proud mary,5.5,482.0,5.826903828477005
acts of violence,5.6,393.0,5.891244788716378
freak show,6.853,116.0,6.178805611202939
humor me,6.1,18.0,6.063071526752194
12 strong,6.311,2876.0,6.263967628427951
den of thieves,6.804,2766.0,6.659329805123839
forever my girl,7.602,1175.0,7.042787647916266
thane of east county,4.0,2.0,6.055942277389152
maze runner: the death cure,7.11,7540.0,7.024481511620647
please stand by,6.801,454.0,6.360540222780703
winchester,5.903,1683.0,5.948296732004041
a fantastic woman,7.036,671.0,6.549402841465704
armed,4.8,19.0,6.027276067351973
the cloverfield paradox,5.607,3159.0,5.686629984436017
bad apples,0.0,0.0,6.062079418515686
peter rabbit,6.684,1729.0,6.510308132724265
pad man,7.4,195.0,6.363691572723133
fifty shades freed,6.705,7846.0,6.654417943917979
the 15:17 to paris,5.427,1562.0,5.617637639070569
permission,5.0,150.0,5.8677965980555005
golden exits,5.7,49.0,6.0374036306057155
black panther,7.386,21806.0,7.346534490585758
nostalgia,5.5,28.0,6.039531820065201
samson,5.8,227.0,5.995756087408595
game night,6.9,5619.0,6.810731946319845
annihilation,6.413,8402.0,6.387083246296904
every day,5.149,86.0,5.958210595774483
the cured,5.514,349.0,5.874366251624641
red sparrow,6.535,5807.0,6.4860796989973
death wish,6.164,2499.0,6.142451628401865
the vanishing of sidney hall,6.71,245.0,6.2355663501699565
pickings,6.3,7.0,6.064539454070177
a wrinkle in time,5.1,1762.0,5.365046550331212
gringo,5.876,715.0,5.966016758415531
thoroughbreds,6.431,1108.0,6.291980433298936
the strangers: prey at night,5.7,1314.0,5.822274803631809
the hurricane heist,5.665,980.0,5.826238309336672
tomb raider,6.36,7619.0,6.335919074726205
"love, simon",8.01,5957.0,7.813062201660708
i can only imagine,7.494,450.0,6.637404652147776
entebbe,5.836,400.0,5.977563748042533
furlough,5.833,52.0,6.045580623830346
josie,5.183,93.0,5.95493081311338
flower,6.319,248.0,6.131487157304476
pacific rim uprising,6.135,4808.0,6.1260812724362
isle of dogs,7.848,4729.0,7.626372515355716
sherlock gnomes,5.633,693.0,5.843919450040726
unsane,6.246,1473.0,6.188497998322683
"paul, apostle of christ",7.575,341.0,6.5723721171172205
