Title,Vote_Average,Vote_Count,Weighted_Average
jawan,7.2,225.0,6.912854146601519
jaane jaan,7.1,80.0,6.492208818272876
jailer,0.0,0.0,5.212648435689456
rocky aur rani kii prem kahaani,6.125,48.0,5.7218679134441786
omg 2,7.3,41.0,6.2959574753949274
sukhee,5.0,4.0,5.192396203719031
the great indian family,4.2,4.0,5.1162057275285555
the bfg,6.27,3279.0,6.25788683767145
pathaan,6.58,175.0,6.336059345334269
mastaney,10.0,1.0,5.335401039902546
3 idiots,7.997,2301.0,7.951764703102265
satyaprem ki katha,6.926,27.0,5.92434831624922
lion,8.071,6426.0,8.054196571868223
bholaa shankar,5.7,3.0,5.248308306248764
haddi,5.2,5.0,5.211177687353472
friday night plan,5.7,7.0,5.288458679026651
neeyat,0.0,0.0,5.212648435689456
gadar 2,6.459,37.0,5.82751520741599
por thozhil,7.725,19.0,6.050098957126304
life of pi,7.402,12840.0,7.395539729814894
asoka,6.5,145.0,6.232681095935516
the darjeeling limited,7.164,3447.0,7.142722708911391
dangal,7.909,935.0,7.803695416810071
tumbbad,7.474,233.0,7.156910112753503
dunki,7.456,16150.0,7.450733916515704
sirf ek bandaa kaafi hai,7.105,19.0,5.843432290459638
gangs of wasseypur,7.1,350.0,6.9151562900932975
khufiya,6.4,29.0,5.7265767247193935
animal,6.505,94.0,6.132959398153026
miss shetty mr polishetty,6.31,21.0,5.603231195867785
bawaal,6.225,20.0,5.561735182003437
brahmastra part one: shiva,6.513,159.0,6.262170764244667
ghoomer,8.6,6.0,5.674560012640893
tiger 3,5.744,41.0,5.488413171597459
tu jhoothi main makkaar,6.344,125.0,6.08024932856564
drishyam 2,7.971,68.0,6.982156986379239
gandhi,7.556,2232.0,7.5167720883507485
pk,10.0,1.0,5.335401039902546
my name is khan,8.038,1270.0,7.955917920914526
raees,6.7,215.0,6.476603322356519
rama banam,3.5,6.0,4.979105467186348
andhadhun,7.665,481.0,7.485444394135259
thank you for coming,4.25,7.0,5.062903123471096
dream girl 2,5.5,6.0,5.25183273991362
kushi,5.0,16.0,5.14964149178147
taare zameen par,8.0,1120.0,7.9085325047981
drishyam,0.0,0.0,5.212648435689456
chor nikal ke bhaga,7.0,118.0,6.564619490744867
gangubai kathiawadi,7.424,139.0,6.949246556814686
gaslight,7.5,468.0,7.32822260979486
the buckingham murders,0.0,0.0,5.212648435689456
fighter,3.9,13.0,4.878051775611751
bholaa,6.104,24.0,5.557687750906441
om shanti om,7.1,344.0,6.912252985749213
kabhi khushi kabhie gham...,7.7,526.0,7.532412483255673
the kerala story,4.026,19.0,4.817098957126304
vikram vedha,7.358,179.0,6.982316315927186
"swades: we, the people",7.275,308.0,7.048498961145086
bajrangi bhaijaan,7.8,463.0,7.603753773565268
bloody daddy,6.043,23.0,5.52573181239671
the hundred-foot journey,7.307,1398.0,7.251578440498746
the kashmir files,7.103,58.0,6.354735839127076
akelli,7.0,2.0,5.302016013904983
omg: oh my god!,7.235,233.0,6.9514230278826545
adipurush,5.198,81.0,5.202677651732768
ib 71,6.5,18.0,5.626440009932131
padmaavat,6.917,260.0,6.699666579047649
zindagi na milegi dobara,7.6,333.0,7.355473424679782
jab tak hai jaan,7.091,247.0,6.8405531247585944
monica o my darling,6.956,68.0,6.331024910907542
bhediya,6.658,38.0,5.9353242178447285
ra.one,5.7,323.0,5.648699835335733
laal singh chaddha,6.475,61.0,5.990461015719184
don 2,7.0,226.0,6.742729699076513
chup,7.2,134.0,6.760933956722089
kuch kuch hota hai,7.5,371.0,7.287483228743763
don,8.2,4.0,5.497158108480936
devdas,2.5,2.0,5.0770160139049825
badla,6.806,635.0,6.716033641242495
gumraah,6.8,16.0,5.682974825114802
the lunchbox,7.329,683.0,7.217458586069623
zara hatke zara bachke,6.2,10.0,5.418346678254153
street fighter: the legend of chun-li,4.4,437.0,4.465011874855157
ganapath,3.0,5.0,4.9553637338651
kalki 2898-ad,7.4,23.0,6.037387550101628
kal ho naa ho,7.5,369.0,7.286438920285502
bride & prejudice,6.443,359.0,6.32523335152695
the white tiger,6.96,844.0,6.884717279542175
lust stories 2,5.542,36.0,5.37287352102972
bajirao mastani,7.274,272.0,7.021318195342578
kaun?,5.9,23.0,5.471813779609825
dear zindagi,7.057,221.0,6.786400156587642
chhichhore,7.656,128.0,7.096678557567465
freddy,7.067,30.0,6.030744714061755
yeh jawaani hai deewani,7.224,250.0,6.958613335264581
sir,0.0,0.0,5.212648435689456
mrs. chatterjee vs. norway,5.3,54.0,5.263920006045645
munna bhai m.b.b.s.,7.185,289.0,6.955797065921098
fan,6.283,244.0,6.138768228922693
welcome to the jungle,5.0,406.0,5.018199640892341
vikram vedha,7.358,179.0,6.982316315927186
lagaan: once upon a time in india,7.265,547.0,7.1316848556516215
trial period,5.5,4.0,5.240015251338079
kathal: a jackfruit mystery,5.84,25.0,5.461597469146021
sardar udham,7.2,85.0,6.58602146793658
kisi ka bhai kisi ki jaan,5.229,24.0,5.218978073487086
king of kotha,5.912,17.0,5.428811646476351
ek tha tiger,6.141,181.0,5.979916166923284
hit: the first case,6.5,23.0,5.698043287806547
singham again,0.0,0.0,5.212648435689456
the second best exotic marigold hotel,6.414,697.0,6.351889306879182
dilwale dulhania le jayenge,8.537,4403.0,8.508554749055662
kill,0.0,0.0,5.212648435689456
october,6.837,89.0,6.350973547686609
an action hero,6.4,55.0,5.914845597378488
the vaccine war,7.5,10.0,5.689180011587486
jab we met,7.289,261.0,7.025115854703007
k.g.f: chapter 1,7.357,206.0,7.0230436088368835
mimi,5.2,4.0,5.21144382276665
afwaah,5.9,9.0,5.344268948004241
godfather,6.8,10.0,5.543346678254153
laila majnu,0.0,0.0,5.212648435689456
ghajini,7.026,384.0,6.862712418379619
jab harry met sejal,6.5,179.0,6.274565163853453
barfi!,7.516,306.0,7.261560001616859
mumbai meri jaan,7.0,23.0,5.886567877970481
ludo,2.9,44.0,3.9717151287341377
haider,7.224,217.0,6.924269178651762
mission majnu,6.719,32.0,5.90126629365999
talaash,6.8,207.0,6.553798532882446
ae dil hai mushkil,6.431,196.0,6.2331480365649545
a wednesday,7.0,298.0,6.797859049274403
wajah tum ho,5.176,17.0,5.2013207373854415
raazi,7.142,158.0,6.767942043654079
dil chahta hai,6.9,274.0,6.694489232551921
bye2,0.0,0.0,5.212648435689456
darlings,0.0,0.0,5.212648435689456
runway 34,6.479,47.0,5.912866359484697
masaan,6.976,167.0,6.64913483198146
sanju,7.951,581.0,7.782894411237801
govinda naam mera,5.375,16.0,5.26075260289258
rockstar,7.24,181.0,6.888222102996345
mom,5.4,23.0,5.283289189445891
kalank,5.63,50.0,5.449780006320447
article 15,7.518,142.0,7.0313146697566635
lust stories,6.265,120.0,6.011902788330375
shehzada,0.0,0.0,5.212648435689456
zero,7.2,59.0,6.42144990264123
a thursday,6.294,34.0,5.723286674391657
rang de basanti,7.131,425.0,6.97355429925745
rocketry: the nambi effect,7.4,37.0,6.291741874082657
dilwale,6.538,13.0,5.550483148160771
jug jugg jeeyo,6.047,32.0,5.59406629365999
gully boy,7.362,174.0,6.97673887054811
chennai express,6.508,319.0,6.370119441333892
war,6.303,1698.0,6.2791328574632495
shershaah,7.304,85.0,6.657891386635767
student of the year 2,4.662,65.0,4.865151850060188
qala,2.3,3.0,4.999527818443886
talvar,7.459,160.0,7.027882023011108
kuttey,6.0,17.0,5.456011646476352
fukrey 3,5.7,9.0,5.305971075663815
dangerous,6.094,419.0,6.020714749575928
bang bang,5.0,8.0,5.175666099047811
hey ram,6.8,47.0,6.090360477131756
83,7.09,50.0,6.279325460865902
selfiee,5.735,17.0,5.374102555567261
veer-zaara,7.421,252.0,7.131629795021377
goliyon ki rasleela ram-leela,6.963,176.0,6.652189909141119
thugs of hindostan,5.515,100.0,5.431743772146372
bheed,6.0,13.0,5.4133458932588105
kabhi alvida naa kehna,6.4,198.0,6.208816273543218
badhaai do,6.8,61.0,6.19071354097171
prem ki shaadi,0.0,0.0,5.212648435689456
ghost stories,5.1,72.0,5.138914914147266
pushpa: the rule - part 2,0.0,0.0,5.212648435689456
climax,7.086,2010.0,7.051240547146582
stree,5.0,1.0,5.2071959116974185
monsoon wedding,6.782,190.0,6.520441405948242
delhi belly,7.076,177.0,6.746663444447439
mission raniganj,6.2,9.0,5.4017157565148795
main hoon na,6.7,299.0,6.532286767229078
gadar: ek prem katha,6.677,62.0,6.120546405561993
bhagwan bharose,6.7,3.0,5.321479037956081
omkara,0.0,0.0,5.212648435689456
chak de! india,7.179,315.0,6.967324760782435
mohabbatein,7.04,227.0,6.777964681344148
krrish 3,5.667,171.0,5.58439062467081
kabir singh,6.5,131.0,6.210536334652067
raat akeli hai,6.8,66.0,6.220006159194224
housefull 4,5.715,79.0,5.5518430816769175
happy new year,6.1,248.0,5.982100141804892
ittefaq,5.556,9.0,5.278396607578709
sultan,6.929,28.0,5.940797584184837
dil dhadakne do,6.769,134.0,6.4251548869546475
dhokha: round d corner,4.607,14.0,5.049589241465371
the other side of the door,5.55,808.0,5.534847092856027
omerta,7.2,16.0,5.801493343633321
maqbool,7.0,51.0,6.236861129844937
satya,0.0,0.0,5.212648435689456
cirkus,6.0,1.0,5.232836937338444
merry christmas,5.544,272.0,5.50338271147161
badlapur,6.9,128.0,6.513738798531322
kaun kitney paani mein,5.7,3.0,5.248308306248764
karwaan,7.238,80.0,6.585768140306775
fukrey,6.5,49.0,5.937708512140222
mili,8.0,3.0,5.416600989175593
ugly,6.932,111.0,6.4935076547395925
rab ne bana di jodi,7.118,268.0,6.881387714235945
tiger zinda hai,6.106,141.0,5.916349947241336
once upon a time in mumbaai,6.611,81.0,6.164467567699154
salaam venky,6.9,9.0,5.5357583097063685
vadh,7.714,7.0,5.601747567915541
faraaz,4.3,9.0,5.037885969280836
sholay,6.998,260.0,6.770337719987246
1920: horrors of the heart,3.167,6.0,4.933696376277258
section 375,7.424,59.0,6.557697325321643
shiddat,7.333,18.0,5.894190009932131
jalpari: the desert mermaid,0.0,0.0,5.212648435689456
the girl on the train,6.4,5587.0,6.391978780543324
piku,7.003,184.0,6.696543425928827
kennedy,7.5,2.0,5.3270160139049825
takht,0.0,0.0,5.212648435689456
company,7.1,26.0,5.979385008690614
kahaani,7.145,293.0,6.923159034912988
dil se..,6.856,163.0,6.545316619682584
laapataa ladies,8.0,40.0,6.642059494310248
goodbye,10.0,1.0,5.335401039902546
uri: the surgical strike,7.08,410.0,6.921608572670088
sooryavanshi,5.8,154.0,5.683753336230204
highway,5.6,125.0,5.509697181326376
tamasha,0.0,0.0,5.212648435689456
operation mayfair,3.2,4.0,5.02096763229046
agneepath,6.4,139.0,6.145088364724289
lootera,0.0,0.0,5.212648435689456
dostana,6.2,149.0,5.999361714204274
dream girl,8.238,507.0,8.027058056066421
chandigarh kare aashiqui,6.0,37.0,5.601075207415991
dhoom:3,6.0,272.0,5.903485937278062
u turn,6.641,708.0,6.568242145517694
haseen dillruba,6.5,73.0,6.05928505005585
blurr,3.7,7.0,4.97734756791554
shamshera,5.62,49.0,5.442076328232177
bareilly ki barfi,6.756,162.0,6.462763202780996
thar,6.1,28.0,5.589100614487868
bade miyan chote miyan,6.6,15.0,5.605295104833949
uunchai,5.967,15.0,5.4261441614377235
no smoking,6.907,54.0,6.207159136480427
dobaaraa,5.469,16.0,5.288604454744432
bulbbul,6.5,121.0,6.192331072680499
kapoor & sons,7.0,167.0,6.668686051493656
the crew,5.5,34.0,5.348342229947213
the archies,6.424,47.0,5.882454594778816
mumbaikar,3.7,3.0,5.10196684283413
yodha,3.333,3.0,5.075113184297544
jalsa,6.2,21.0,5.564078653494904
game changer,8.0,4.0,5.478110489433317
gulaal,6.5,54.0,5.968267832132602
raid,7.226,95.0,6.650756695911274
black friday,7.4,84.0,6.718693775050815
the sky is pink,7.8,66.0,6.854621543809609
student of the year,5.7,161.0,5.606937892242208
jodhaa akbar,7.34,237.0,7.046038692931634
jersey,0.0,0.0,5.212648435689456
gehraiyaan,5.6,26.0,5.370010008690614
queen,7.4,259.0,7.12013683688956
dabangg 3,5.367,50.0,5.300348188138629
darr,6.87,73.0,6.302618383389183
ala vaikunthapurramuloo,6.677,82.0,6.213288671301661
kolai,5.667,6.0,5.274605467186348
dhoom,6.0,272.0,5.903485937278062
super 30,7.3,96.0,6.7080644817626816
a death in the gunj,6.9,46.0,6.136674292335706
dhoom:2,6.564,234.0,6.375208237338969
kaabil,6.836,125.0,6.457549942062573
shootout at byculla,0.0,0.0,5.212648435689456
dum laga ke haisha,7.172,119.0,6.697762041759231
fukrey returns,6.5,49.0,5.937708512140222
ek villain,6.5,144.0,6.231212310748348
kick,5.69,145.0,5.590877817246992
shaitan,0.0,0.0,5.212648435689456
raksha bandhan,6.167,18.0,5.519404295646416
2,7.721,1492.0,7.658701072258954
cuttputlli,5.667,17.0,5.353084373749078
housefull 5,0.0,0.0,5.212648435689456
kabhi haan kabhi naa,6.58,50.0,5.989552733593174
pyaar ka punchnama,6.872,82.0,6.346538671301661
billu,6.4,93.0,6.0555774088259495
jaane tu... ya jaane na,6.764,146.0,6.443612176935865
dil bechara,6.713,94.0,6.281080610274238
hera pheri,6.965,242.0,6.727180859129283
bhool bhulaiyaa,6.6,166.0,6.341571767432349
aashiqui 2,6.84,144.0,6.500223299759337
kurbaan,4.833,36.0,5.0279546021108015
don 3: the final chapter,0.0,0.0,5.212648435689456
zid,4.4,7.0,5.086236456804429
ajeeb daastaans,6.3,35.0,5.733981377482182
simmba,6.086,77.0,5.797414265706081
the raid,0.0,0.0,5.212648435689456
dabangg,5.064,102.0,5.104347432544281
waltair veerayya,5.5,24.0,5.323881299293538
jogira sara ra ra,0.0,0.0,5.212648435689456
checkmate,0.0,0.0,5.212648435689456
krrish,6.354,226.0,6.189714547561362
baadshah,6.43,93.0,6.076875118749613
udaan,6.0,3.0,5.270259525760959
water,6.858,113.0,6.443938016928472
guzaarish,7.399,109.0,6.833820684055778
koi... mil gaya,6.858,201.0,6.596395985590791
dil to pagal hai,6.881,156.0,6.5542094874030905
table no.21,6.338,64.0,5.918751378001954
murder 3,3.6,25.0,4.572708580257133
taish,0.0,0.0,5.212648435689456
secret superstar,7.297,159.0,6.894942337848727
dhaakad,4.417,11.0,5.034033480738762
sarkar,10.0,1.0,5.335401039902546
chandu champion,7.0,2.0,5.302016013904983
major,7.7,3.0,5.394649769663398
doctor g,6.697,571.0,6.604380362161247
viceroy's house,6.6,273.0,6.430484374778776
m.s. dhoni: the untold story,7.16,163.0,6.791843982866663
singham,6.514,144.0,6.242289233825272
bhaag milkha bhaag,7.433,240.0,7.129498707036689
all ladies do it,4.92,363.0,4.947732270713714
bhavesh joshi superhero,7.4,39.0,6.320527799431161
desi boyz,6.183,90.0,5.894926879345308
pataakha,6.9,19.0,5.775098957126303
7 khoon maaf,6.272,46.0,5.7927695304309434
angrezi medium,7.1,58.0,6.352923339127076
janaki jaane,5.5,2.0,5.227016013904983
shahid,0.0,0.0,5.212648435689456
b.a. pass,5.653,36.0,5.426873521029719
radhe,8.0,1.0,5.284118988620495
liger,4.875,24.0,5.08194581542257
kamasutra 3d,5.5,16.0,5.297789639929618
untitled vikas bahl/jio studios project,0.0,0.0,5.212648435689456
cocktail,6.1,1399.0,6.076534892523451
jewel thief,6.219,16.0,5.510826676966654
deewana,4.964,15.0,5.142276236909421
bhagam bhag,6.5,77.0,6.0746142657060815
newton,0.0,0.0,5.212648435689456
made in china,5.5,127.0,5.433822063976966
kai po che!,6.964,124.0,6.553189139235799
babumoshai bandookbaaz,6.3,23.0,5.622633451740972
humpty sharma ki dulhania,6.31,100.0,6.007830728668111
chatrapathi,6.523,22.0,5.693110675936655
kaminey,0.0,0.0,5.212648435689456
karthik calling karthik,6.2,86.0,5.8974245206145115
ramayana: the legend of prince rama,8.2,36.0,6.665954602110801
trapped,6.2,543.0,6.135422789253355
qarib qarib singlle,6.939,49.0,6.18496138570344
baaghi 3,6.65,110.0,6.280950274028374
darbar,10.0,1.0,5.335401039902546
bhool bhulaiyaa 2,6.31,62.0,5.893006405561993
udta punjab,7.215,144.0,6.796926596462634
agra,4.0,1.0,5.181554886056393
notebook,5.8,16.0,5.386678528818505
tara vs bilal,4.8,10.0,5.126680011587486
matru ki bijlee ka mandola,5.513,40.0,5.366674878925632
garam masala,5.8,81.0,5.61244235761512
ek villain returns,6.3,60.0,5.878373883226524
kambakkht ishq,4.26,48.0,4.680937680886038
metro.... in dino,0.0,0.0,5.212648435689456
go goa gone,5.752,101.0,5.604551370907909
jo jeeta wohi sikandar,7.1,85.0,6.516915776879669
dhamaka,1.5,1.0,5.117452321953828
cobalt blue,6.1,25.0,5.564772072320625
manorama: six feet under,6.447,47.0,5.895172241837639
antim: the final truth,6.5,22.0,5.684677342603322
welcome back,5.065,62.0,5.121106405561993
good newwz,6.663,80.0,6.195937631832198
new york,8.121,1070.0,8.021255090754694
hum,6.433,30.0,5.751038831708814
detective byomkesh bakshy!,6.736,91.0,6.287260779505421
ram setu,4.9,26.0,5.085635008690614
devara,0.0,0.0,5.212648435689456
life in a metro,6.308,65.0,5.903889714137858
aligarh,6.9,45.0,6.127477597062643
pink,5.0,8.0,5.175666099047811
