Title,Vote_Average,Vote_Count,Weighted_Average
uri: the surgical strike,7.078,411.0,7.019993425605537
battalion 609,0.0,0.0,4.371026528258363
the accidental prime minister,5.0,21.0,4.811307958477509
why cheat india,5.5,18.0,5.123675509419455
evening shadows,5.7,6.0,4.902615916955018
soni,6.7,36.0,6.234205305651674
fraud saiyaan,4.2,10.0,4.281012566017119
bombairiya,7.2,8.0,5.702308162019133
manikarnika: the queen of jhansi,6.8,44.0,6.387532806685382
thackeray,5.1,16.0,4.8375695501730105
amavas,5.5,4.0,4.718402981101944
gully boy,7.362,174.0,7.214902944012706
hum chaar,5.667,3.0,4.695019896193772
total dhamaal,5.256,41.0,5.096704775086505
sonchiriya,8.3,34.0,7.477656715216868
badla,6.8,637.0,6.766159812313196
mard ko dard nahi hota,6.6,60.0,6.30926432977283
hamid,7.0,12.0,5.873297083539298
photograph,6.0,3.0,4.778269896193772
risknamaa,0.0,0.0,4.371026528258363
mere pyare prime minister,6.4,8.0,5.325837573783839
22 yards,10.0,1.0,4.9339238754325265
kesari,0.0,0.0,4.371026528258363
notebook,5.8,16.0,5.285569550173011
junglee,0.0,0.0,4.371026528258363
gone kesh,6.6,8.0,5.419955220842662
albert pinto ko gussa kyun aata hai?,4.5,2.0,4.394476250393206
the tashkent files,7.356,45.0,6.858504421376393
kalank,5.63,50.0,5.437953199225852
setters,4.4,5.0,4.381374196737519
student of the year 2,4.662,65.0,4.626611334517909
pm narendra modi,4.278,9.0,4.324513264129181
de de pyaar de,6.0,45.0,5.728504421376393
india's most wanted,5.0,12.0,4.730439940682156
yeh hai india,4.833,15.0,4.6597599480968865
khamoshi,4.588,17.0,4.5128937982432795
kabir singh,6.5,131.0,6.363137419673752
article 15,7.5,142.0,7.313504892412751
one day: justice delivered,3.9,7.0,4.164952422145329
hume tumse pyaar kitna,4.0,1.0,4.333923875432527
super 30,7.3,96.0,7.048945130993573
family of thakurganj,5.0,1.0,4.4339238754325265
batla house,6.79,51.0,6.427153979238755
jhootha kahin ka,6.5,3.0,4.903269896193772
judgementall hai kya,5.7,19.0,5.272829955511617
chicken curry law,0.0,0.0,4.371026528258363
arjun patiala,4.1,6.0,4.262615916955017
jabariya jodi,4.5,10.0,4.438907302859224
pranaam,6.0,1.0,4.533923875432526
the sky is pink,7.8,66.0,7.388523183391003
mission mangal,6.698,63.0,6.407128316032296
saaho,5.82,87.0,5.684158737024222
dream girl,8.231,508.0,8.16380510397355
section 375,7.424,59.0,7.019929981681254
the zoya factor,5.5,22.0,5.172233508204041
pal pal dil ke paas,4.875,4.0,4.526095288794251
prassthanam,6.5,11.0,5.541961937716263
p se pyaar f se faraar,10.0,2.0,5.394476250393206
ghost,7.213,5394.0,7.208266007542907
bala,10.0,1.0,4.9339238754325265
yaaram,5.0,1.0,4.4339238754325265
housefull 4,5.715,79.0,5.577548167662787
saand ki aankh,7.0,23.0,6.2606012110726645
made in china,5.5,127.0,5.4252885202523915
ujda chaman,6.389,18.0,5.716342176086122
bypass road,5.3,7.0,4.777452422145329
satellite shankar,7.571,7.0,5.771014922145329
jhalki,7.2,4.0,5.241479904178866
marjaavaan,7.4,30.0,6.701006121905776
motichoor chaknachoor,6.1,19.0,5.544258526940188
keep safe distance,0.0,0.0,4.371026528258363
pagalpanti,0.0,0.0,4.371026528258363
ramprasad ki tehrvi,6.0,15.0,5.389134948096886
yeh saali aashiqui,8.786,7.0,6.302577422145329
dil bechara,6.713,94.0,6.508361541304129
pati patni aur woh,6.271,35.0,5.882369062598301
commando 3,6.942,26.0,6.280892535837865
mardaani 2,7.108,65.0,6.775124848031422
dabangg 3,5.367,50.0,5.215071843293649
good newwz,6.663,80.0,6.431227401733992
kaalakaandi,6.463,27.0,5.940006632064591
vodka diaries,6.2,12.0,5.416154226396442
my birthday song,5.5,2.0,4.576294432211387
nirdosh,5.5,2.0,4.576294432211387
mukkabaaz,7.6,37.0,6.9682443207462015
union leader,7.1,7.0,5.564952422145328
love per square foot,6.7,109.0,6.5223664301214015
aiyaary,5.781,48.0,5.558372609725005
padmaavat,6.917,260.0,6.831818731428718
kuchh bheege alfaaz,7.4,8.0,5.796425809077957
jaane kyun de yaaron,0.0,0.0,4.371026528258363
veerey ki wedding,4.4,5.0,4.381374196737519
sonu ke titu ki sweety,6.525,100.0,6.347148979397479
hate story 4,5.643,14.0,5.145271250188054
dil juunglee,7.0,5.0,5.309945625308948
3 storeys,7.0,4.0,5.179941442640405
raid,7.226,95.0,6.978934988022359
hichki,7.6,126.0,7.38473510188389
missing,7.5,924.0,7.469816976156833
baaghi 2,6.067,67.0,5.866161036241122
october,6.837,89.0,6.610533048513522
mercury,0.0,0.0,4.371026528258363
beyond the clouds,6.2,117.0,6.06935903773274
nanu ki jaanu,5.6,8.0,4.9493669855485445
daas dev,3.0,2.0,4.121748977665933
omerta,7.2,16.0,6.18156955017301
raazi,7.142,158.0,6.992666100325303
hope aur hum,6.2,3.0,4.828269896193772
high jack,7.7,3.0,5.203269896193772
khajoor pe atke,0.0,0.0,4.371026528258363
parmanu: the story of pokhran,6.985,98.0,6.765133072470331
bioscopewala,0.0,0.0,4.371026528258363
bhavesh joshi superhero,7.4,39.0,6.8320674740484435
phamous,6.0,3.0,4.778269896193772
race 3,4.008,63.0,4.053378316032296
dhadak,6.769,134.0,6.618078592687589
sanju,7.948,582.0,7.893528322765356
saheb biwi aur gangster 3,6.2,4.0,4.9337875964865585
nawabzaade,4.6,5.0,4.45280276816609
mulk,0.0,0.0,4.371026528258363
brij mohan amar rahe,5.0,12.0,4.730439940682156
karwaan,7.247,81.0,6.959402652825836
gold,6.621,1579.0,6.6082482611803055
satyameva jayate,6.569,51.0,6.239303979238755
happy phirr bhag jayegi,6.8,8.0,5.514072867901486
genius,6.482,654.0,6.45334425151482
yamla pagla deewana: phir se,3.889,9.0,4.130013264129182
stree,5.0,1.0,4.4339238754325265
paltan,6.0,11.0,5.266961937716263
laila majnu,0.0,0.0,4.371026528258363
gali guleiyan,6.8,5.0,5.2385170538803765
halkaa,5.6,7.0,4.908702422145328
pataakha,6.9,19.0,6.08711566979733
batti gul meter chalu,5.979,24.0,5.540461780434099
love sonia,7.545,22.0,6.623523830784686
manto,7.4,44.0,6.885646014232552
ishqeria,5.3,3.0,4.603269896193772
manmarziyaan,7.0,57.0,6.641503617489777
mitron,6.2,9.0,5.285513264129182
sui dhaaga,7.0,77.0,6.7248748692363405
baazaar,6.0,26.0,5.581121107266436
jalebi,0.0,0.0,4.371026528258363
fryday,6.5,2.0,4.75811261402957
tumbbad,7.485,234.0,7.369667649194754
helicopter eela,6.3,12.0,5.473297083539298
namaste england,5.182,11.0,4.817061937716264
andhadhun,7.665,481.0,7.6044984464373995
badhaai ho,7.204,135.0,7.026939158016147
5 weddings,5.1,6.0,4.662615916955017
kaashi in search of ganga,4.2,4.0,4.3184029811019435
dassehra,10.0,1.0,4.9339238754325265
the journey of karma,2.0,1.0,4.133923875432527
jack and dil,0.0,0.0,4.371026528258363
mohalla assi,7.0,3.0,5.028269896193772
pihu,7.5,82.0,7.190541085212366
bhaiaji superhit,4.0,4.0,4.256864519563482
rajma chawal,6.529,17.0,5.782009182858664
zero,7.2,59.0,6.8255770405047835
simmba,6.086,77.0,5.906526032027038
tiger zinda hai,6.106,141.0,6.001901591695502
golmaal again,5.444,90.0,5.346456957114396
judwaa 2,5.426,101.0,5.339683988675685
ok jaanu,5.845,58.0,5.647003563497392
coffee with d,5.1,11.0,4.771961937716263
kaabil,6.836,125.0,6.670442080256159
raees,6.7,215.0,6.606425173010381
thugs of hindostan,5.52,101.0,5.425993079584775
hind ka napak ko jawab: msg lion heart 2,6.0,1.0,4.533923875432526
running shaadi,6.1,7.0,5.127452422145328
the ghazi attack,6.976,83.0,6.721165638633971
irada,7.0,15.0,6.014134948096886
rangoon,6.6,78.0,6.369416537406037
wedding anniversary,3.0,1.0,4.233923875432526
jeena isi ka naam hai,2.0,1.0,4.133923875432527
badrinath ki dulhania,6.384,125.0,6.248800289211383
trapped,6.2,543.0,6.170179780352038
aa gaya hero,5.9,6.0,4.982615916955018
mantra,7.3,3.0,5.103269896193772
phillauri,6.306,31.0,5.870630968858132
machine,6.5,2.0,4.75811261402957
bhanwarey,0.0,0.0,4.371026528258363
anaarkali of aarah,6.8,11.0,5.7069619377162635
naam shabana,5.653,49.0,5.454073081971124
hotel salvation,6.8,29.0,6.224716809324349
begum jaan,6.0,21.0,5.511307958477508
noor,4.5,19.0,4.458544241225902
ek thi rani aisi bhi,0.0,0.0,4.371026528258363
maatr,6.0,3.0,4.778269896193772
sarkar 3,5.5,15.0,5.076634948096886
jattu engineer,6.0,1.0,4.533923875432526
half girlfriend,6.368,72.0,6.146114058695374
meri pyaari bindu,6.171,38.0,5.826324228815432
sachin: a billion dreams,7.339,28.0,6.617060506873656
hindi medium,7.288,165.0,7.137122061806467
sweetiee weds nri,3.5,2.0,4.212658068575024
dobaara: see your evil,4.7,3.0,4.453269896193772
flat 211,2.0,1.0,4.133923875432527
dear maya,6.5,20.0,5.839284094976733
raabta,0.0,0.0,4.371026528258363
behen hogi teri,6.077,71.0,5.885077984429065
tubelight,5.35,80.0,5.251002682632868
bank chor,5.0,20.0,4.804801336356044
ek haseena thi ek deewana tha,5.0,1.0,4.4339238754325265
jagga jasoos,6.1,90.0,5.942820593478033
shab,7.5,2.0,4.939930795847752
lipstick under my burkha,6.837,99.0,6.631502210688196
bachche kachche sachche,10.0,1.0,4.9339238754325265
g kutta se,5.5,1.0,4.483923875432526
indu sarkar,5.0,6.0,4.622615916955017
