userId,movieId,rating,timestamp
ramu98,950071,8.0,2024-02-05T05:06:37.796Z
iam.biplob,872906,10.0,2023-09-28T17:02:43.109Z
TanvirAshraf,872906,,2023-10-25T08:53:00.610Z
sukh_,1161406,10.0,2023-09-05T18:19:11.320Z
Simon Foster,267935,,2016-05-15T04:52:56.849Z
Rangan,267935,6.0,2016-12-04T19:09:49.207Z
Ruuz,267935,4.0,2017-06-24T09:05:22.857Z
IshanPathak,864692,,2023-03-24T03:45:12.215Z
ramu98,864692,7.0,2024-02-14T23:43:33.829Z
alirazahub,20453,10.0,2023-05-27T15:39:55.163Z
djgri,334543,4.0,2017-05-01T08:05:05.214Z
Rangan,334543,9.0,2017-06-26T23:40:02.176Z
FilipeManuelNeto,334543,8.0,2023-01-07T03:31:51.850Z
roshan5619,864221,,2023-08-13T09:44:45.624Z
tanty,87827,9.0,2014-06-16T14:28:47.654Z
Ibraheem...,87827,9.0,2017-10-18T09:05:51.600Z
Dark Jedi,87827,4.0,2018-07-01T11:18:39.288Z
talisencrw,4538,9.0,2016-05-25T21:15:25.259Z
Svumpukkel85,360814,,2017-11-14T17:37:08.495Z
r96sk,360814,6.0,2020-11-19T15:05:39.208Z
maketheSWITCH,538858,8.0,2019-07-26T01:14:51.058Z
badelf,538858,8.0,2022-02-03T01:59:20.368Z
Simon Foster,374720,,2017-07-24T09:38:23.861Z
marchingfreakm17,374720,3.0,2017-08-02T21:57:44.203Z
Pierre_D,374720,8.0,2017-08-04T23:11:27.437Z
defjeff,374720,7.0,2017-09-12T16:20:31.375Z
Ruuz,374720,4.0,2017-12-29T08:30:11.717Z
dezmozegreato,374720,9.0,2018-01-06T17:59:00.119Z
dshacky90,374720,6.0,2018-03-03T19:34:38.853Z
Dark Jedi,374720,4.0,2019-01-01T16:22:54.285Z
r96sk,374720,8.0,2021-01-02T19:24:48.185Z
GenerationofSwine,374720,1.0,2023-01-12T04:13:50.821Z
FilipeManuelNeto,374720,3.0,2023-05-13T17:42:44.071Z
JN2012,374720,7.0,2023-10-20T14:52:29.976Z
Geronimo1967,374720,7.0,2024-06-03T10:23:33.179Z
mynameritesh,1123960,,2023-05-24T06:44:23.342Z
chandlerdanier,781732,6.0,2024-01-30T15:47:05.957Z
tmdb88404076,781732,10.0,2024-02-08T16:35:36.175Z
Slicky_07,611359,10.0,2023-05-07T13:30:51.365Z
Geronimo1967,783,7.0,2024-01-26T16:29:31.403Z
John Chard,13528,9.0,2019-06-09T19:28:03.194Z
gauravmanral,348892,,2018-06-11T07:41:15.913Z
Geronimo1967,228194,7.0,2024-02-10T11:19:55.120Z
viral810,432527,,2018-10-08T23:13:41.703Z
shinemon,799177,7.0,2023-07-20T02:32:38.012Z
rahghav_op,41109,,2021-01-20T04:23:23.871Z
badelf,11854,8.0,2023-06-02T22:17:05.220Z
ChrisSawin,933131,8.0,2024-01-30T00:31:17.811Z
MovieGuys,933131,6.0,2024-01-30T23:50:37.565Z
mynameritesh,933131,,2024-02-03T07:46:06.309Z
Dharunn_,191714,10.0,2023-04-18T20:33:04.187Z
Dan_Tebasco,15268,6.0,2018-01-10T14:19:48.723Z
mooney240,15268,4.0,2023-01-16T22:29:11.713Z
msbreviews,628534,5.0,2021-01-21T21:41:02.953Z
msbreviews,628534,5.0,2021-01-21T21:41:03.185Z
screenzealots,628534,8.0,2021-03-09T04:26:33.562Z
Pvnt20,596650,1.0,2020-01-29T16:25:35.383Z
meetbhanvadia,377985,,2016-04-15T12:52:19.305Z
Wuchak,205724,4.0,2021-07-26T19:18:58.232Z
Geronimo1967,598826,7.0,2022-03-28T10:43:48.757Z
badelf,598826,9.0,2022-10-05T14:27:35.021Z
shinemon,855117,7.0,2023-08-26T06:42:47.217Z
Prashast,85985,0.5,2015-09-11T11:05:58.142Z
brightonguy,268238,9.0,2020-05-13T20:04:59.709Z
Geronimo1967,268238,6.0,2023-08-12T12:57:05.334Z
MohamedElsharkawy,19404,,2017-10-21T12:27:46.145Z
Iamhcb,564147,8.0,2019-12-10T06:42:30.413Z
badelf,280795,10.0,2022-11-15T00:48:36.887Z
Geronimo1967,11712,7.0,2023-08-14T06:25:21.070Z
badelf,79464,8.0,2023-05-20T23:37:34.517Z
Uknown,7913,,2016-08-06T12:09:04.906Z
JPV852,763788,6.0,2022-02-21T22:50:54.123Z
