Title,Vote_Average,Vote_Count,Weighted_Average
the shawshank redemption,8.5,8205.0,8.315954164552734
spider-man: into the spider-verse,8.405,15153.0,8.305792720116633
avengers: infinity war,8.247,29075.0,8.197785113814271
avengers: endgame,8.254,25043.0,8.196885435787559
spider-man: across the spider-verse,8.4,6426.0,8.17925496200754
the lion king,8.256,17845.0,8.176608869047016
the godfather,8.4,5893.0,8.16132762614742
fight club,8.3,9413.0,8.151293584290936
pulp fiction,8.3,8428.0,8.135193801979064
green book,8.242,11281.0,8.119788738214837
